ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4079719,-4129313,-4102011,-3878408,-4338872,-3758237,-4296272,-1354012 
-4076792,-4126354,-4099147,-3875479,-4335983,-3755192,-4293371,-1343345 
-4081394,-4130949,-4103716,-3879989,-4340456,-3759661,-4297810,-1340722 
-4087489,-4137071,-4109724,-3886032,-4346492,-3765631,-4303806,-1355765 
-4086092,-4135654,-4108410,-3884732,-4345203,-3764267,-4302451,-1355178 
-4079135,-4128652,-4101467,-3877784,-4338230,-3757294,-4295541,-1331776 
-4077131,-4126554,-4099319,-3875671,-4336179,-3755252,-4293465,-1320702 
-4082349,-4131934,-4104741,-3881065,-4341551,-3760619,-4298818,-1328532 
-4088013,-4137642,-4110513,-3886780,-4347239,-3766302,-4304516,-1334170 
-4086629,-4136259,-4109161,-3885370,-4345812,-3764921,-4303064,-1336396 
-4080579,-4130291,-4103091,-3879368,-4339776,-3758812,-4297039,-1340527 
-4078613,-4128317,-4101026,-3877369,-4337775,-3756749,-4294957,-1353039 
-4082394,-4132072,-4104932,-3881251,-4341713,-3760575,-4298911,-1350649 
-4087443,-4137096,-4109981,-3886296,-4346772,-3765552,-4303984,-1336097 
-4086072,-4135694,-4108541,-3884857,-4345354,-3764166,-4302576,-1317922 
-4079982,-4129524,-4102374,-3878807,-4339274,-3758242,-4296512,-1313756 
-4077596,-4127174,-4099963,-3876424,-4336851,-3755835,-4294047,-1318105 
-4081893,-4131471,-4104286,-3880713,-4341141,-3759916,-4298323,-1322829 
-4088454,-4138146,-4110893,-3887243,-4347715,-3766576,-4304954,-1334179 
-4088039,-4137785,-4110407,-3886772,-4347204,-3766127,-4304296,-1367587 
-4081212,-4130900,-4103502,-3879931,-4340334,-3759094,-4297340,-1383034 
-4077946,-4127792,-4100431,-3876922,-4337353,-3756048,-4294379,-1371392 
-4083101,-4132916,-4105522,-3881991,-4342426,-3761137,-4299535,-1385444 
-4087208,-4136944,-4109747,-3886131,-4346697,-3765277,-4303851,-1355382 
-4085883,-4135649,-4108367,-3884799,-4345336,-3764015,-4302551,-1335023 
-4079924,-4129619,-4102328,-3878814,-4339324,-3757974,-4296522,-1343282 
-4077057,-4126663,-4099432,-3875896,-4336491,-3755119,-4293689,-1319929 
-4084029,-4133678,-4106160,-3882694,-4343252,-3762016,-4300449,-1358292 
-4090186,-4139944,-4112307,-3888826,-4349331,-3768010,-4306399,-1410552 
-4089611,-4139453,-4111711,-3888251,-4348762,-3767496,-4305719,-1459166 
-4082936,-4132815,-4105101,-3881669,-4342216,-3760887,-4299168,-1482631 
-4071057,-4120586,-4094184,-3870321,-4331201,-3749080,-4288437,-1275139 
-4080399,-4129957,-4102841,-3879243,-4339934,-3758544,-4297141,-1220553 
-4088861,-4138387,-4111090,-3887595,-4348172,-3766708,-4305326,-1325513 
-4086179,-4135771,-4108507,-3884952,-4345619,-3764008,-4302714,-1302261 
-4080603,-4130197,-4102941,-3879422,-4340017,-3758459,-4297061,-1340336 
-4077783,-4127417,-4100183,-3876632,-4337251,-3755697,-4294267,-1327176 
-4082349,-4131983,-4104787,-3881179,-4341837,-3760239,-4298889,-1337494 
-4088158,-4137657,-4110411,-3886746,-4347516,-3765911,-4304599,-1340330 
-4086962,-4136540,-4109301,-3885571,-4346369,-3764737,-4303304,-1337625 
-4083115,-4132834,-4105335,-3881625,-4342276,-3760814,-4299199,-1402989 
-4078062,-4127767,-4100567,-3876691,-4337516,-3755810,-4294548,-1386321 
-4082838,-4132594,-4105295,-3881426,-4342259,-3760586,-4299267,-1384454 
-4089452,-4139264,-4111877,-3887997,-4348833,-3767187,-4305766,-1411863 
-4086559,-4136257,-4109125,-3885176,-4346114,-3764212,-4303036,-1400013 
-4077097,-4126708,-4099877,-3875847,-4336917,-3754841,-4293876,-1283719 
-4078809,-4128396,-4101056,-3877222,-4338079,-3756382,-4294966,-1322181 
-4082496,-4132300,-4105164,-3881201,-4342115,-3760174,-4299094,-1353712 
-4087757,-4137862,-4110682,-3886714,-4347657,-3765741,-4304675,-1338428 
-4086081,-4136241,-4109157,-3885196,-4346115,-3764089,-4303073,-1336241 
-4078780,-4128872,-4101859,-3877851,-4338838,-3756852,-4295809,-1298197 
-4076588,-4126647,-4099602,-3875611,-4336621,-3754654,-4293562,-1286050 
-4082076,-4132122,-4104981,-3881002,-4342031,-3759938,-4299049,-1297362 
-4087929,-4137996,-4110866,-3886843,-4347871,-3765834,-4304922,-1299785 
-4087301,-4137371,-4110164,-3886181,-4347186,-3765178,-4304082,-1319021 
-4081189,-4131310,-4104016,-3880042,-4341112,-3759112,-4298052,-1327170 
-4077820,-4127919,-4100795,-3876727,-4337787,-3755556,-4294785,-1313478 
-4082637,-4132616,-4105504,-3881387,-4342429,-3760169,-4299342,-1297184 
