ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4182584,-4276306,-4261886,-3975179,-4407755,-4071509,-4439049,-1234199 
-4186669,-4280775,-4266341,-3979831,-4412363,-4076339,-4443494,-1255261 
-4186265,-4280654,-4266359,-3980021,-4412567,-4076556,-4443593,-1260409 
-4182596,-4276735,-4262404,-3975831,-4408502,-4072734,-4439639,-1244078 
-4179777,-4273994,-4259559,-3973031,-4405652,-4069846,-4436951,-1251948 
-4180930,-4275192,-4260905,-3974512,-4407064,-4071057,-4438261,-1251305 
-4184875,-4279066,-4264719,-3978360,-4410873,-4074934,-4442056,-1239400 
-4185737,-4279809,-4265345,-3979036,-4411584,-4075819,-4442730,-1244286 
-4182014,-4275994,-4261614,-3975227,-4407822,-4072219,-4438754,-1240754 
-4178901,-4272949,-4258630,-3972329,-4404854,-4069195,-4435806,-1231457 
-4181131,-4275261,-4260858,-3974589,-4407057,-4071409,-4438154,-1234091 
-4186226,-4280409,-4265869,-3979582,-4412032,-4076394,-4443081,-1277908 
-4184469,-4278529,-4264271,-3977909,-4410439,-4074514,-4441431,-1250891 
-4180555,-4274536,-4260256,-3973911,-4406466,-4070674,-4437481,-1217177 
-4178416,-4272366,-4258121,-3971844,-4404456,-4068759,-4435378,-1211478 
-4180990,-4274834,-4260602,-3974141,-4406724,-4070931,-4437880,-1215822 
-4184739,-4278370,-4264141,-3977679,-4410319,-4074592,-4441232,-1215513 
-4185239,-4278950,-4264641,-3978234,-4410749,-4074808,-4441716,-1212074 
-4181777,-4275802,-4261564,-3975397,-4407799,-4071672,-4438740,-1223729 
-4178717,-4272750,-4258574,-3972455,-4404942,-4068781,-4435910,-1220717 
-4181104,-4275020,-4260717,-3974369,-4406902,-4070864,-4438043,-1226646 
-4185496,-4279356,-4265043,-3978637,-4411141,-4075004,-4442246,-1243202 
-4185559,-4279446,-4265211,-3978832,-4411326,-4075042,-4442354,-1243836 
-4182004,-4275839,-4261610,-3975115,-4407759,-4071702,-4438789,-1233154 
-4179876,-4273656,-4259335,-3972837,-4405585,-4069613,-4436571,-1238920 
-4182102,-4275790,-4261317,-3974807,-4407583,-4071557,-4438579,-1246586 
-4186584,-4280169,-4265672,-3979205,-4412018,-4076021,-4442879,-1265552 
-4185379,-4279090,-4264688,-3978218,-4411042,-4075039,-4442105,-1246306 
-4182096,-4276256,-4261956,-3975592,-4408307,-4072419,-4439362,-1254454 
-4179027,-4273032,-4258906,-3972501,-4405209,-4069051,-4436329,-1227654 
-4182222,-4276154,-4261806,-3975360,-4407996,-4071975,-4439216,-1228099 
-4186349,-4280164,-4265767,-3979275,-4411965,-4076088,-4443152,-1247218 
-4185263,-4278957,-4264611,-3978255,-4410967,-4075187,-4442141,-1248457 
-4181309,-4275052,-4260766,-3974361,-4407095,-4071184,-4438322,-1230518 
-4179289,-4273039,-4258736,-3972352,-4405017,-4069133,-4436272,-1223676 
-4181756,-4275601,-4261341,-3974897,-4407541,-4071623,-4438877,-1221718 
-4185858,-4279594,-4265236,-3978905,-4411568,-4075696,-4442875,-1230166 
-4186349,-4280086,-4265710,-3979295,-4411975,-4076218,-4443361,-1237304 
-4183051,-4276762,-4262392,-3976045,-4408657,-4072926,-4440024,-1245288 
-4181077,-4274748,-4260330,-3973969,-4406634,-4070857,-4437896,-1249718 
-4183593,-4277193,-4262764,-3976351,-4409062,-4073228,-4440333,-1247279 
-4187926,-4281542,-4267081,-3980706,-4413358,-4077604,-4444600,-1262336 
-4188060,-4281619,-4267119,-3980706,-4413443,-4077859,-4444641,-1259910 
-4183805,-4277639,-4263191,-3976790,-4409581,-4073960,-4440999,-1256881 
-4181385,-4274991,-4260677,-3974247,-4406983,-4071240,-4438589,-1246119 
-4184119,-4277792,-4263486,-3976982,-4409707,-4074002,-4441321,-1246067 
-4188689,-4282360,-4267886,-3981341,-4414109,-4078374,-4445703,-1270947 
-4187959,-4281605,-4267221,-3980704,-4413552,-4077807,-4445172,-1261842 
-4184977,-4278574,-4264027,-3977571,-4410406,-4074783,-4441928,-1260684 
-4182363,-4275864,-4261343,-3974821,-4407713,-4072175,-4439239,-1249346 
-4184081,-4277938,-4263494,-3977025,-4409897,-4074264,-4441457,-1240249 
-4188215,-4281956,-4267556,-3981126,-4413975,-4078259,-4445604,-1238619 
-4189602,-4283057,-4268384,-3981990,-4414849,-4079078,-4446477,-1252284 
-4185803,-4279402,-4264807,-3978394,-4411266,-4075377,-4442817,-1254791 
-4182599,-4276461,-4262024,-3975690,-4408495,-4072647,-4439946,-1239009 
-4185811,-4279693,-4265092,-3978784,-4411577,-4075897,-4443031,-1242260 
-4190672,-4284406,-4269696,-3983330,-4416156,-4080431,-4447691,-1273087 
-4189527,-4283212,-4268644,-3982265,-4415161,-4079350,-4446647,-1264186 
-4185949,-4279403,-4264647,-3978310,-4411267,-4075772,-4442591,-1255218 
-4182821,-4276876,-4262264,-3976067,-4409039,-4073652,-4440385,-1253327 
-4185554,-4279584,-4265075,-3978859,-4411782,-4076254,-4443208,-1245919 
-4189601,-4283390,-4268847,-3982636,-4415591,-4080137,-4446946,-1243632 
-4189584,-4283212,-4268596,-3982329,-4415386,-4079962,-4446741,-1243593 
-4185420,-4279216,-4264612,-3978177,-4411487,-4076105,-4442825,-1231727 
-4183815,-4277551,-4262817,-3976338,-4409741,-4074409,-4441026,-1236100 
-4186781,-4280571,-4265786,-3979322,-4412689,-4077161,-4444012,-1248926 
-4190201,-4283967,-4269200,-3982652,-4416082,-4080396,-4447523,-1258286 
-4189530,-4283321,-4268619,-3982014,-4415492,-4079841,-4446999,-1252148 
-4185430,-4279292,-4264616,-3978097,-4411623,-4076248,-4442977,-1238537 
-4183948,-4277722,-4263037,-3976555,-4410035,-4074581,-4441368,-1245397 
-4186126,-4279681,-4265096,-3978617,-4412088,-4076560,-4443437,-1234884 
-4190036,-4283584,-4268911,-3982417,-4415932,-4080448,-4447170,-1226596 
-4190085,-4283811,-4269097,-3982672,-4416259,-4081065,-4447321,-1245892 
-4185528,-4279222,-4264571,-3978082,-4411654,-4076196,-4442799,-1238977 
-4183060,-4276706,-4262159,-3975699,-4409206,-4073322,-4440535,-1226475 
-4185601,-4279152,-4264659,-3978211,-4411731,-4075766,-4443169,-1215251 
-4189586,-4283203,-4268639,-3982194,-4415786,-4080032,-4447154,-1214952 
-4189501,-4283137,-4268518,-3982082,-4415707,-4080094,-4447027,-1228611 
-4185345,-4278904,-4264232,-3977880,-4411606,-4076087,-4442774,-1223309 
-4182966,-4276533,-4261888,-3975576,-4409327,-4073860,-4440489,-1215678 
-4186479,-4280139,-4265336,-3979007,-4412651,-4077072,-4443826,-1231958 
-4191027,-4284529,-4269662,-3983369,-4416946,-4081281,-4448057,-1261846 
-4189379,-4282929,-4268293,-3982051,-4415556,-4079675,-4446565,-1252984 
-4185392,-4279048,-4264309,-3978011,-4411537,-4075788,-4442501,-1253611 
-4182583,-4276235,-4261583,-3975315,-4408937,-4073192,-4439932,-1247892 
-4185679,-4279199,-4264541,-3978421,-4412046,-4076364,-4443033,-1235317 
-4189157,-4282706,-4268019,-3981904,-4415474,-4079612,-4446393,-1233254 
-4188813,-4282387,-4267608,-3981588,-4415185,-4079311,-4446243,-1237316 
-4184227,-4277893,-4263176,-3977207,-4410884,-4075462,-4441861,-1229582 
-4182330,-4275957,-4261222,-3975245,-4408906,-4073685,-4439984,-1222450 
-4185591,-4279086,-4264345,-3978396,-4411982,-4076519,-4443123,-1228337 
-4190129,-4283552,-4268641,-3982793,-4416362,-4080999,-4447477,-1243869 
-4189129,-4282644,-4267738,-3981899,-4415526,-4080273,-4446603,-1261746 
-4184782,-4278190,-4263332,-3977497,-4411121,-4075772,-4442069,-1242921 
-4183415,-4276689,-4261776,-3976014,-4409617,-4074452,-4440343,-1249237 
-4185781,-4279376,-4264562,-3978837,-4412392,-4077124,-4443179,-1253057 
-4190050,-4283582,-4268672,-3982917,-4416450,-4080937,-4447328,-1267752 
-4188854,-4282321,-4267504,-3981662,-4415346,-4079964,-4446214,-1266499 
-4185122,-4278617,-4263694,-3977848,-4411557,-4076096,-4442324,-1268417 
