ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4839796,-4270490,-3782846,-3785686,-4507571,-4879582,-4678287,-1357744 
-4831261,-4265804,-3773502,-3776954,-4499756,-4878337,-4669421,-1419924 
-4807911,-4241560,-3750364,-3753728,-4476431,-4853560,-4646207,-1430445 
-4808240,-4241126,-3750581,-3753887,-4476474,-4852647,-4646342,-1431336 
-4830803,-4263732,-3773078,-3776451,-4498921,-4874476,-4668919,-1471746 
-4840420,-4271943,-3783390,-3786561,-4508597,-4880964,-4679113,-1469081 
-4821555,-4250367,-3765096,-3767964,-4489379,-4858494,-4660300,-1373748 
-4795784,-4222251,-3739690,-3742342,-4463239,-4829787,-4634573,-1261241 
-4794252,-4219541,-3738701,-3741313,-4461897,-4826702,-4633601,-1144664 
-4818291,-4244517,-3762482,-3765297,-4486069,-4851853,-4657780,-1124740 
-4833900,-4261611,-3777401,-3780377,-4501517,-4869764,-4672792,-1130432 
-4830472,-4264559,-3772492,-3776231,-4498996,-4877686,-4668726,-1252298 
-4809119,-4243307,-3751237,-3754978,-4477836,-4856449,-4647506,-1315737 
-4808424,-4241798,-3750757,-3754299,-4476867,-4853796,-4646871,-1348716 
-4825241,-4255237,-3768372,-3771477,-4493110,-4864184,-4664011,-1306106 
-4841507,-4273532,-3784129,-3787439,-4509486,-4883621,-4679972,-1347816 
-4822730,-4251546,-3765894,-3768929,-4490396,-4859875,-4661415,-1293248 
-4798072,-4225571,-3741549,-3744607,-4465823,-4834204,-4637043,-1166142 
-4804339,-4235181,-3746936,-3750327,-4472437,-4845855,-4642739,-1233578 
-4824736,-4254204,-3767382,-3770661,-4492310,-4863240,-4663072,-1222255 
-4834330,-4261960,-3777691,-3780782,-4501931,-4869134,-4673136,-1199658 
-4819937,-4247281,-3763301,-3766424,-4487554,-4855581,-4658798,-1108404 
-4815842,-4253762,-3756669,-3761002,-4484842,-4870519,-4653482,-1313724 
-4813632,-4249692,-3754983,-3758984,-4482424,-4863347,-4651483,-1436527 
-4819236,-4245392,-3762804,-3765678,-4486559,-4851434,-4658055,-1259947 
