ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4751671,-4194688,-3693902,-3675961,-4417372,-4811887,-4583550,-1276915 
-4722172,-4159693,-3665452,-3647177,-4387376,-4774101,-4554706,-1225570 
-4717077,-4146501,-3661649,-3642739,-4380994,-4755388,-4550107,-1116163 
-4747691,-4181690,-3691158,-3672686,-4411725,-4793441,-4579995,-1106203 
-4762801,-4199995,-3705933,-3687656,-4427551,-4812360,-4594987,-1216475 
-4740291,-4173848,-3684161,-3665684,-4404790,-4785369,-4572932,-1126778 
-4736504,-4187025,-3677543,-3660341,-4403521,-4810496,-4567699,-1347284 
-4736761,-4182689,-3678764,-3661065,-4403207,-4800889,-4568101,-1475739 
-4742783,-4171456,-3687678,-3668616,-4406366,-4777372,-4575315,-1294096 
-4748544,-4173601,-3693932,-3674767,-4411384,-4778031,-4581434,-1120803 
-4736753,-4167769,-3681036,-3662329,-4400420,-4777624,-4569119,-1086724 
-4719692,-4155816,-3663216,-3644880,-4384404,-4770188,-4551834,-1129240 
-4721479,-4155596,-3665522,-3646951,-4385856,-4767717,-4553726,-1123240 
-4746026,-4179290,-3690154,-3671486,-4409946,-4789526,-4578289,-1121486 
-4760504,-4196134,-3704064,-3685673,-4424631,-4807677,-4592550,-1160417 
-4743222,-4179419,-3686611,-3668382,-4407569,-4792099,-4575223,-1165564 
-4719693,-4155587,-3663204,-3645021,-4384221,-4769171,-4551837,-1142232 
-4724256,-4160478,-3667726,-3649529,-4388827,-4773746,-4556381,-1156269 
-4748114,-4182536,-3691806,-3673434,-4412250,-4793328,-4580520,-1161461 
-4759894,-4194851,-3703402,-3685092,-4423980,-4805483,-4592191,-1169023 
-4743051,-4178472,-3686535,-3668304,-4407392,-4790075,-4575136,-1156527 
-4722279,-4157978,-3665859,-3647697,-4386932,-4770754,-4554544,-1137849 
-4724558,-4157934,-3668346,-3649989,-4388616,-4768761,-4556819,-1103863 
-4751897,-4187031,-3695217,-3676988,-4415869,-4797638,-4583915,-1138472 
-4760144,-4193334,-3703889,-3685607,-4423957,-4802160,-4592534,-1121664 
-4745003,-4181524,-3688274,-3670214,-4409496,-4793786,-4577306,-1128472 
-4723774,-4162291,-3666932,-3649081,-4388936,-4776719,-4556173,-1153501 
-4726197,-4163087,-3669552,-3651571,-4391049,-4775952,-4558697,-1162312 
-4749471,-4184417,-3692923,-3674789,-4413647,-4794719,-4582049,-1161270 
-4760749,-4196424,-3704025,-3686041,-4424996,-4806714,-4593377,-1172369 
-4744152,-4181516,-3687136,-3669285,-4408898,-4793998,-4576702,-1182126 
-4720012,-4156166,-3663175,-3645347,-4384752,-4768774,-4552675,-1152039 
-4725728,-4162701,-3668677,-3650920,-4390534,-4775627,-4558310,-1164244 
-4749899,-4185821,-3693125,-3675242,-4414404,-4796349,-4582782,-1184519 
-4761250,-4197656,-3704230,-3686401,-4425601,-4807827,-4593872,-1199672 
-4740035,-4174446,-3683577,-3665670,-4404519,-4784192,-4573066,-1153988 
-4716666,-4150844,-3660348,-3642639,-4381512,-4762007,-4549896,-1092055 
-4722902,-4158207,-3666294,-3648691,-4387798,-4769910,-4555901,-1105281 
-4747523,-4181912,-3690931,-3673221,-4412075,-4792028,-4580504,-1110958 
-4760707,-4197339,-3703675,-3686104,-4425449,-4808471,-4593385,-1151789 
-4743248,-4180816,-3686121,-3668588,-4408182,-4793277,-4575876,-1164585 
-4719366,-4155594,-3662326,-3644864,-4384229,-4768187,-4552132,-1133517 
-4724257,-4160450,-3667091,-3649742,-4388939,-4772857,-4557016,-1133645 
-4752363,-4190674,-3694681,-3677472,-4417122,-4803271,-4584771,-1198922 
-4762134,-4200042,-3704687,-3687406,-4426930,-4811743,-4594602,-1233846 
-4742499,-4179774,-3685296,-3667862,-4407316,-4791841,-4574991,-1213473 
-4721537,-4159731,-3663941,-3646756,-4386591,-4773884,-4553748,-1213617 
-4723692,-4159056,-3666593,-3649302,-4388484,-4771166,-4556238,-1196506 
-4746032,-4178769,-3689306,-3671736,-4410155,-4787979,-4578706,-1166347 
-4757362,-4191411,-3700378,-3682962,-4421643,-4801498,-4589987,-1165806 
-4741517,-4177968,-3684074,-3666959,-4406380,-4790730,-4574037,-1183094 
-4711011,-4140216,-3654907,-3637281,-4375099,-4749317,-4544280,-1060463 
-4717701,-4148552,-3661224,-3643761,-4381924,-4759112,-4550901,-1006896 
-4750110,-4186673,-3692586,-3675478,-4414961,-4799262,-4582702,-1107629 
-4758251,-4192837,-3701003,-3683821,-4422769,-4803341,-4590924,-1126814 
-4734890,-4165889,-3678216,-3660906,-4399009,-4775167,-4568024,-1037373 
-4724346,-4165200,-3665861,-3649391,-4389964,-4782712,-4556711,-1122519 
-4732504,-4174784,-3673789,-3657301,-4398261,-4791894,-4564645,-1249825 
