ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-5047374,-4095841,-4382688,-4270059,-4791357,-4556352,-4576539,-1421197 
-5027100,-4077554,-4378011,-4263602,-4786982,-4546503,-4557111,-1413441 
-4948326,-4054718,-4384021,-4197977,-4710522,-4536519,-4492115,-1343455 
-4946309,-4069382,-4392863,-4186388,-4693604,-4544822,-4492496,-1339139 
-4959850,-4077879,-4390166,-4192490,-4699647,-4547818,-4505062,-1348699 
-4993616,-4085289,-4381659,-4229110,-4743359,-4551223,-4535712,-1379893 
-5019194,-4087850,-4379592,-4261126,-4781762,-4553674,-4556856,-1409132 
-5025583,-4088886,-4387079,-4264228,-4784747,-4555164,-4557590,-1424507 
-4994349,-4078704,-4392506,-4225082,-4738228,-4548616,-4525271,-1402471 
-4995044,-4081754,-4389161,-4220541,-4732425,-4549076,-4524675,-1404854 
-4968906,-4064552,-4378091,-4207036,-4719001,-4538954,-4504914,-1380617 
-4961432,-4064648,-4376751,-4213569,-4726432,-4541304,-4504844,-1371527 
-4953609,-4065114,-4384390,-4206130,-4716271,-4542227,-4498958,-1364662 
-4929221,-4065910,-4391998,-4174929,-4677577,-4542853,-4478717,-1338949 
-4923865,-4065914,-4388210,-4165504,-4666111,-4541424,-4476096,-1327884 
-4950201,-4070690,-4379259,-4196457,-4703207,-4543386,-4502007,-1347654 
-4873406,-4036356,-4374132,-4144124,-4644443,-4525901,-4442078,-1268635 
-4951367,-4084731,-4387975,-4210777,-4716739,-4555471,-4513207,-1334082 
-5003868,-4100421,-4395542,-4240373,-4749978,-4561575,-4548417,-1387912 
-4972896,-4077554,-4388742,-4206679,-4713267,-4546381,-4515165,-1363850 
-4948334,-4064102,-4378441,-4195717,-4702597,-4539219,-4497108,-1339731 
-4952766,-4068681,-4377981,-4212214,-4721423,-4544139,-4505646,-1341121 
-5013031,-4095529,-4388469,-4260657,-4775347,-4559740,-4553684,-1401832 
-4959635,-4069077,-4391747,-4201506,-4707181,-4543304,-4500302,-1358680 
-4946132,-4071898,-4389007,-4186457,-4688599,-4545188,-4491251,-1343003 
-4995141,-4085516,-4380802,-4235927,-4747161,-4551684,-4534382,-1388413 
-4967197,-4065103,-4376999,-4222131,-4733594,-4541049,-4510329,-1365731 
-4924114,-4056396,-4384784,-4185189,-4689198,-4538382,-4475245,-1323952 
-4977289,-4091560,-4395568,-4218729,-4723834,-4558074,-4519525,-1371098 
-4991064,-4085818,-4389598,-4222294,-4729539,-4551257,-4524495,-1387243 
-4958993,-4065379,-4378469,-4203259,-4710559,-4539833,-4497848,-1356846 
-4964957,-4070392,-4378248,-4219529,-4729415,-4544886,-4506676,-1360077 
-4987496,-4080791,-4387111,-4235162,-4746061,-4551146,-4522544,-1383954 
-4952807,-4068320,-4391982,-4192585,-4695789,-4543119,-4487940,-1353350 
-4807518,-4010656,-4381379,-4066507,-4551554,-4509402,-4368854,-1205616 
-4781314,-4020706,-4374913,-4060021,-4541413,-4517915,-4366151,-1152217 
-4835782,-4046859,-4376032,-4118915,-4607379,-4533164,-4422712,-1181111 
-4854202,-4057312,-4385254,-4132679,-4621038,-4539304,-4438980,-1184229 
-4873366,-4067309,-4392356,-4135887,-4622902,-4543538,-4451334,-1191186 
-4955306,-4100292,-4392018,-4199174,-4695359,-4561164,-4517877,-1260468 
-5070251,-4122137,-4384104,-4300304,-4816160,-4570553,-4604105,-1377166 
-5039356,-4089994,-4379628,-4280797,-4798527,-4553521,-4567292,-1363909 
-5060077,-4101229,-4389393,-4294328,-4813662,-4562185,-4577654,-1397664 
-5046009,-4093706,-4394349,-4267939,-4783440,-4556817,-4555682,-1399492 
-5032965,-4088149,-4389546,-4251775,-4765679,-4552855,-4541197,-1397237 
-5034112,-4082606,-4379906,-4261742,-4779591,-4549655,-4542853,-1406563 
-5011337,-4070299,-4377671,-4253440,-4771580,-4544485,-4525784,-1393389 
-4985190,-4068864,-4386565,-4230744,-4743624,-4546108,-4506227,-1374547 
-4990662,-4081043,-4394574,-4224226,-4733437,-4552596,-4510527,-1383602 
-5023744,-4093247,-4390961,-4246849,-4759317,-4557134,-4536944,-1419158 
-5018566,-4078834,-4379728,-4250016,-4765993,-4547774,-4531707,-1420372 
-4919112,-4036437,-4374586,-4176884,-4683397,-4525961,-4451852,-1327271 
-4946717,-4069454,-4387530,-4200256,-4705478,-4547434,-4482924,-1346979 
-4959901,-4075672,-4393189,-4198172,-4700934,-4548566,-4490876,-1359080 
-4923168,-4058792,-4386381,-4163147,-4660960,-4537604,-4460725,-1320590 
-4969020,-4079716,-4380396,-4213182,-4718608,-4550474,-4506088,-1357504 
-4994315,-4077686,-4378653,-4242732,-4754323,-4548667,-4525219,-1384918 
-4956691,-4066301,-4386506,-4207772,-4712784,-4543800,-4491267,-1352431 
-4979514,-4082891,-4394126,-4215099,-4718657,-4552404,-4507564,-1375306 
-4954269,-4070107,-4387716,-4189456,-4689980,-4543716,-4485187,-1351392 
-5010416,-4088107,-4380576,-4246507,-4756834,-4553809,-4534721,-1404547 
-4975501,-4064447,-4377485,-4226177,-4735488,-4541410,-4503966,-1376568 
-4966231,-4068474,-4386666,-4215463,-4721081,-4545421,-4495633,-1369822 
-4945989,-4068756,-4392734,-4186726,-4685742,-4545277,-4476798,-1349790 
-4997207,-4090260,-4389934,-4226223,-4730337,-4555852,-4519334,-1396903 
-5011690,-4081661,-4379424,-4246606,-4756571,-4549749,-4529359,-1414949 
-4951854,-4051941,-4376097,-4205650,-4711222,-4534579,-4479584,-1361400 
-4923203,-4054974,-4385736,-4179769,-4678478,-4538455,-4459106,-1330441 
-4907688,-4057941,-4391537,-4155126,-4647591,-4539124,-4446569,-1309324 
-4946340,-4078351,-4389007,-4185006,-4680906,-4549604,-4481938,-1337502 
-4979957,-4077949,-4379176,-4221789,-4725863,-4547766,-4509356,-1367862 
-4959740,-4066037,-4378206,-4214390,-4718293,-4543009,-4492792,-1349269 
-4965331,-4072016,-4387152,-4214551,-4716999,-4547160,-4495027,-1355644 
-4960531,-4076909,-4393468,-4197991,-4696201,-4549495,-4487875,-1351364 
-4972198,-4077666,-4387957,-4203899,-4703646,-4547842,-4495347,-1362049 
-4951577,-4061773,-4377339,-4196768,-4697697,-4538835,-4480165,-1341128 
-4965619,-4070171,-4378897,-4219075,-4723111,-4545912,-4496202,-1352261 
-4988896,-4082440,-4388768,-4233606,-4738321,-4553443,-4513034,-1377134 
-5036460,-4102867,-4396230,-4260374,-4767690,-4563407,-4545975,-1429639 
-5017434,-4084362,-4388202,-4239300,-4745885,-4550695,-4523586,-1420829 
-4955629,-4051777,-4375665,-4197964,-4701419,-4532331,-4473545,-1365749 
-4923921,-4051412,-4377164,-4184170,-4684177,-4535924,-4456900,-1330477 
-5025186,-4101159,-4391152,-4265801,-4774770,-4564494,-4542609,-1426887 
-5000283,-4080341,-4392922,-4229620,-4734119,-4549673,-4511062,-1413698 
-4944892,-4060774,-4386022,-4181270,-4678899,-4538922,-4466009,-1361758 
-4949651,-4060325,-4377087,-4196826,-4698081,-4538761,-4475837,-1362104 
-4926965,-4053459,-4377268,-4188477,-4688432,-4536767,-4462297,-1336419 
-4924058,-4059779,-4386524,-4182163,-4679118,-4541119,-4461184,-1329844 
-4910476,-4061656,-4391723,-4159081,-4650465,-4541550,-4449306,-1311369 
-4902451,-4057737,-4385381,-4150249,-4640374,-4537616,-4444356,-1295637 
-4903876,-4055708,-4376737,-4163460,-4656608,-4536743,-4451427,-1287041 
-4931886,-4066736,-4378754,-4196948,-4694789,-4544671,-4478437,-1307080 
-4964916,-4080279,-4388645,-4218599,-4718290,-4552454,-4501821,-1338476 
-4962762,-4078663,-4393147,-4202923,-4699647,-4550227,-4492931,-1338755 
-4963556,-4077302,-4387589,-4200431,-4697973,-4548456,-4491534,-1338619 
-4999691,-4081770,-4378994,-4240002,-4746209,-4550418,-4520966,-1374222 
-4988447,-4072176,-4378883,-4238608,-4745716,-4546329,-4509954,-1367944 
-4964589,-4067346,-4387241,-4213016,-4714955,-4544161,-4487187,-1349023 
-4952709,-4070652,-4392582,-4191024,-4687766,-4544848,-4475406,-1337462 
-4967870,-4075337,-4386964,-4201308,-4700147,-4544705,-4488469,-1349877 
-4971259,-4069874,-4377919,-4214849,-4717843,-4541907,-4493949,-1352408 
-5014644,-4085391,-4380585,-4259509,-4769189,-4552794,-4531084,-1396799 
-4955350,-4055908,-4385459,-4202218,-4703747,-4535570,-4474944,-1348285 
-4858455,-4034533,-4389161,-4111972,-4597314,-4524718,-4398481,-1249577 
-4910542,-4067915,-4387128,-4157219,-4647081,-4543238,-4451354,-1284532 
-4967272,-4078368,-4378750,-4214936,-4715587,-4547856,-4500438,-1333791 
-4957796,-4068124,-4378786,-4214732,-4716596,-4543733,-4491537,-1325044 
-4979247,-4079804,-4388889,-4226351,-4728299,-4550997,-4505289,-1347842 
-4952394,-4070628,-4392247,-4190494,-4686107,-4544586,-4477299,-1324127 
-4962114,-4075043,-4386811,-4196721,-4693488,-4546244,-4485676,-1330175 
-5029948,-4095327,-4380616,-4263737,-4772164,-4557996,-4543034,-1395464 
-4997041,-4067159,-4377867,-4241296,-4749281,-4542092,-4509390,-1373149 
-4955164,-4060820,-4387022,-4200854,-4700734,-4540912,-4473687,-1335576 
-4945752,-4068394,-4392499,-4181690,-4676165,-4544824,-4466430,-1323622 
-4975507,-4076089,-4386249,-4204173,-4702424,-4546734,-4490757,-1349132 
-4968660,-4069314,-4377809,-4209729,-4710316,-4543972,-4488574,-1339539 
-5002442,-4076339,-4379345,-4244871,-4751353,-4548496,-4515634,-1374244 
-5010352,-4086014,-4390182,-4245099,-4749549,-4555607,-4518930,-1386507 
-4992651,-4074338,-4392001,-4215629,-4715847,-4546580,-4496267,-1376365 
-4943455,-4056354,-4384027,-4173074,-4667527,-4536421,-4457064,-1327861 
-4957642,-4062563,-4376992,-4197732,-4696715,-4540812,-4475691,-1335522 
-4970248,-4065891,-4378777,-4216807,-4719149,-4543664,-4488574,-1346156 
-4920859,-4051712,-4386343,-4169812,-4663541,-4536512,-4447072,-1298115 
-4980263,-4088016,-4394722,-4209264,-4705456,-4556657,-4497783,-1350184 
-4982260,-4074762,-4385609,-4207699,-4706102,-4546033,-4494767,-1354606 
-4961526,-4062771,-4376819,-4202646,-4702301,-4540590,-4481367,-1334172 
-4965762,-4063504,-4378411,-4214947,-4716645,-4542212,-4487446,-1338577 
-4965111,-4071664,-4388897,-4209200,-4707832,-4548087,-4486882,-1338807 
-4972128,-4075886,-4392602,-4202362,-4699084,-4548725,-4488976,-1347404 
-4974569,-4075389,-4386025,-4203548,-4701299,-4547512,-4491566,-1349563 
-5004285,-4079107,-4378267,-4239546,-4745213,-4549279,-4517429,-1379766 
-4968163,-4058561,-4377795,-4216329,-4720342,-4538656,-4485982,-1350502 
-4961479,-4069705,-4388929,-4205819,-4705498,-4546951,-4481827,-1344027 
-4964805,-4073454,-4392428,-4196199,-4693376,-4547081,-4481553,-1347845 
-4949529,-4064772,-4384764,-4182576,-4678765,-4540680,-4469254,-1331421 
-4942459,-4058313,-4376085,-4188741,-4687787,-4537496,-4467916,-1320292 
-4915570,-4050689,-4377741,-4175071,-4671919,-4535320,-4449806,-1289482 
-5007242,-4097842,-4392256,-4245834,-4749964,-4562999,-4525891,-1374735 
-4991946,-4079304,-4392219,-4217198,-4718406,-4549046,-4501436,-1368239 
-4946819,-4061224,-4384102,-4178657,-4675228,-4538916,-4463931,-1324561 
-4954323,-4060939,-4376062,-4196974,-4697856,-4539032,-4474408,-1327807 
-4955996,-4063734,-4379046,-4206529,-4708461,-4542417,-4478196,-1327040 
-4936889,-4060452,-4387549,-4183047,-4679985,-4540567,-4459926,-1307964 
-4932809,-4067792,-4392151,-4168304,-4661061,-4544176,-4456085,-1299141 
-4985624,-4084699,-4386492,-4211391,-4711457,-4551838,-4499396,-1345942 
-4990044,-4074156,-4377237,-4224710,-4729715,-4545761,-4501932,-1351612 
-5018669,-4084006,-4381224,-4255446,-4765511,-4553014,-4524143,-1382811 
-5009311,-4079131,-4389305,-4238380,-4745494,-4549944,-4509136,-1382264 
-4954970,-4061262,-4390622,-4180487,-4678531,-4539038,-4460487,-1333935 
-4930801,-4056382,-4383390,-4161543,-4657033,-4536137,-4445662,-1305052 
-4954853,-4064871,-4376770,-4194599,-4695953,-4541608,-4472504,-1321090 
-4978477,-4071493,-4379898,-4221319,-4726666,-4546458,-4493261,-1342839 
-4948979,-4061229,-4387627,-4188388,-4687619,-4540815,-4464930,-1316694 
-4930978,-4063674,-4391392,-4162482,-4655669,-4542138,-4450288,-1295207 
-4986906,-4084156,-4386339,-4209589,-4710057,-4552501,-4497991,-1343712 
-4998587,-4075151,-4377421,-4229492,-4735687,-4547072,-4506034,-1356761 
-5026474,-4084823,-4381636,-4259363,-4770312,-4554381,-4527889,-1388121 
-5038537,-4088039,-4390667,-4259869,-4770347,-4556030,-4530405,-1410105 
-4950086,-4054238,-4389949,-4173357,-4671140,-4535696,-4452478,-1331719 
-4990779,-4078339,-4386021,-4210193,-4712549,-4549548,-4492156,-1366532 
-4956416,-4052004,-4374841,-4192601,-4695241,-4533979,-4465144,-1334542 
-4939752,-4055734,-4379302,-4188209,-4688442,-4539436,-4458887,-1314384 
-4969609,-4072761,-4389871,-4205870,-4706454,-4548812,-4482998,-1342080 
-4913828,-4053034,-4390302,-4147915,-4638921,-4535946,-4434714,-1287183 
-4931707,-4064752,-4384630,-4165916,-4658988,-4542020,-4455224,-1295801 
-4955179,-4066619,-4377065,-4198350,-4697832,-4543422,-4478586,-1313841 
-4970244,-4069421,-4380358,-4217700,-4720262,-4546472,-4491416,-1328773 
-4953057,-4068017,-4389749,-4196331,-4693963,-4546077,-4474707,-1314710 
-4994284,-4087944,-4394202,-4219750,-4719173,-4556004,-4505454,-1355544 
-4978341,-4072009,-4384656,-4206063,-4705726,-4545303,-4488894,-1343269 
-4938056,-4049641,-4374916,-4184683,-4683336,-4533304,-4458052,-1304109 
-4930671,-4055119,-4379439,-4187119,-4684807,-4539122,-4457770,-1292312 
-4910238,-4053788,-4388332,-4162646,-4654632,-4538257,-4440844,-1269171 
-4879622,-4048537,-4390036,-4126758,-4611523,-4533826,-4416287,-1231954 
-4879206,-4053293,-4383557,-4129575,-4614307,-4536131,-4422526,-1217677 
-4974006,-4087641,-4380192,-4221677,-4720696,-4556232,-4505703,-1298937 
-5072239,-4113266,-4385545,-4306586,-4819672,-4570740,-4578726,-1400091 
-5047458,-4089755,-4391224,-4272492,-4782286,-4555787,-4541892,-1394826 
-5003228,-4079331,-4393385,-4223569,-4725583,-4550215,-4500051,-1361112 
-5003415,-4073237,-4384332,-4223615,-4727670,-4544908,-4498430,-1365589 
-4938367,-4045268,-4374639,-4181915,-4681624,-4530547,-4449359,-1302953 
-4940262,-4056934,-4380159,-4191982,-4690917,-4539944,-4458477,-1298793 
-4961371,-4071932,-4390576,-4201298,-4699023,-4548157,-4475439,-1316868 
-4953689,-4071259,-4392310,-4182978,-4676916,-4546194,-4466615,-1307924 
-4952921,-4065996,-4383809,-4183239,-4678749,-4541858,-4466731,-1303727 
-4957426,-4063694,-4376694,-4199516,-4698891,-4541414,-4474594,-1303932 
-4945529,-4058760,-4379821,-4195237,-4693855,-4539925,-4465949,-1290576 
-4966014,-4075837,-4391215,-4204124,-4701531,-4550324,-4481919,-1308399 
-4983162,-4082672,-4393624,-4206059,-4703135,-4552514,-4491696,-1325377 
-4988738,-4075165,-4384306,-4210439,-4710435,-4546333,-4493351,-1332077 
-4955651,-4056352,-4375627,-4194733,-4694489,-4536755,-4468202,-1299599 
-4943274,-4056429,-4379905,-4191241,-4689453,-4538907,-4461497,-1284841 
-4935422,-4062071,-4389739,-4176592,-4669936,-4542357,-4454722,-1274384 
-4995540,-4093249,-4395206,-4216387,-4713282,-4559143,-4503610,-1328172 
-4995394,-4074538,-4383709,-4214904,-4714858,-4545186,-4496681,-1332233 
-4935373,-4047861,-4374771,-4177596,-4673896,-4531877,-4450294,-1273601 
