ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4942243,-4087634,-4376091,-4218541,-4646121,-4513066,-4429357,-1289135 
-4966742,-4095701,-4371659,-4251625,-4684878,-4514599,-4453471,-1308449 
-4982392,-4102796,-4377281,-4266595,-4701317,-4519511,-4465364,-1323792 
-4956366,-4092639,-4384486,-4233877,-4663157,-4517231,-4439588,-1302116 
-4941789,-4092641,-4384754,-4213719,-4639186,-4518032,-4429432,-1285323 
-4957917,-4094359,-4375957,-4230752,-4660391,-4514559,-4443486,-1296336 
-4883822,-4057281,-4367808,-4183180,-4606776,-4499801,-4388397,-1221016 
-4931751,-4093575,-4377851,-4229621,-4657076,-4518973,-4436817,-1255695 
-4991341,-4118759,-4387268,-4264777,-4696999,-4528661,-4478232,-1310522 
-5030955,-4128394,-4387233,-4282968,-4719632,-4530054,-4499857,-1352383 
-4996872,-4099611,-4375912,-4255860,-4691979,-4515161,-4465368,-1325696 
-4985307,-4093984,-4371445,-4259413,-4696686,-4514237,-4459332,-1315431 
-4988876,-4095514,-4376473,-4264630,-4702021,-4516767,-4461236,-1321502 
-4973047,-4095760,-4385197,-4241869,-4674002,-4520461,-4447291,-1309274 
-5014147,-4116290,-4386462,-4265924,-4701117,-4527370,-4478752,-1349368 
-5025245,-4111616,-4377430,-4277572,-4716977,-4521537,-4484599,-1364375 
-5013397,-4098487,-4371088,-4278756,-4720454,-4515016,-4474345,-1358853 
-4974530,-4083964,-4375116,-4250384,-4687159,-4512309,-4443800,-1326594 
-4967247,-4093706,-4384851,-4236217,-4668057,-4520082,-4440871,-1319984 
-4988024,-4103620,-4384549,-4242974,-4675981,-4521308,-4455864,-1339599 
-4981815,-4098397,-4376296,-4242741,-4676950,-4516865,-4452901,-1332843 
-5017425,-4108669,-4372102,-4282896,-4724186,-4519107,-4482429,-1367196 
-4982714,-4089485,-4375040,-4255071,-4692670,-4512697,-4450492,-1339327 
-4961851,-4092557,-4384617,-4229167,-4660442,-4518465,-4435700,-1319746 
-4998602,-4110486,-4385469,-4249272,-4683491,-4523420,-4463949,-1353545 
-4995606,-4101554,-4376169,-4250044,-4686564,-4516601,-4460614,-1351795 
-4956250,-4078319,-4369094,-4229671,-4665025,-4506559,-4431029,-1314889 
-4953972,-4086129,-4375677,-4232549,-4666712,-4513793,-4434924,-1309764 
-4959364,-4094989,-4384765,-4226895,-4659177,-4519266,-4438839,-1313740 
-4968909,-4101042,-4384742,-4225384,-4657696,-4520484,-4445609,-1320952 
-4987303,-4102513,-4376190,-4244311,-4681497,-4517246,-4460491,-1337285 
-4939317,-4074685,-4368821,-4217096,-4652240,-4505563,-4423709,-1291652 
-4939092,-4084444,-4375743,-4222334,-4656737,-4513623,-4429937,-1287259 
-4987215,-4112817,-4386223,-4251010,-4688519,-4526671,-4467647,-1331282 
-4980197,-4101158,-4383318,-4232562,-4669696,-4518230,-4453591,-1328161 
-4934401,-4081342,-4374432,-4201446,-4635055,-4509893,-4420507,-1282281 
-4983911,-4101382,-4371185,-4253824,-4696347,-4516427,-4464344,-1324322 
-4961609,-4088217,-4374907,-4236232,-4676622,-4512959,-4443303,-1304729 
-4950719,-4092357,-4384089,-4217922,-4653798,-4518116,-4434093,-1293465 
-4982411,-4107270,-4384561,-4233471,-4671831,-4522291,-4457208,-1321264 
-4956319,-4086167,-4374244,-4214878,-4652941,-4510551,-4434165,-1295353 
-4964636,-4090964,-4371014,-4235357,-4676751,-4513544,-4446062,-1298544 
-4986235,-4098185,-4376210,-4253651,-4697474,-4517431,-4460734,-1318711 
-4963222,-4091214,-4383777,-4223390,-4661638,-4517416,-4437961,-1298281 
-5000711,-4111646,-4385453,-4244766,-4685669,-4525363,-4467216,-1332085 
-4997609,-4096847,-4374764,-4243729,-4687439,-4514592,-4459777,-1331732 
-4938749,-4068285,-4368213,-4208584,-4647769,-4504302,-4416037,-1275406 
-4990506,-4102422,-4377758,-4256376,-4700399,-4521864,-4463499,-1320267 
-4975393,-4091156,-4383102,-4230240,-4670990,-4516804,-4443444,-1309975 
-4912673,-4069556,-4381337,-4171894,-4603170,-4509351,-4395280,-1248547 
-4945952,-4088999,-4375302,-4207104,-4643623,-4514961,-4430194,-1271130 
