status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0.278,-8388608,-6068075,-8238154,2125567,-856737,-4520374,4505192,155595 
0.281,-8388608,-5727766,-7592826,5119371,-558997,-3307373,4459196,122661 
0.281,-8388608,-6184536,-8288423,954080,-757844,-4776287,4094591,-193094 
0.282,-8376978,-6472719,-8382317,-2119852,-954783,-5914152,4188202,-122546 
0.282,-8367881,-6366926,-8373434,-763147,-1005121,-5551148,4372233,33944 
0.283,-8388608,-6059541,-8231479,2184019,-848906,-4495791,4508239,157527 
0.283,-8388608,-5726944,-7591169,5112236,-555304,-3306909,4456448,119456 
0.283,-8388608,-6183959,-8294234,937404,-754233,-4778632,4095863,-193022 
0.284,-8377286,-6472014,-8382639,-2116644,-952949,-5911564,4188519,-122591 
0.284,-8368249,-6365617,-8373804,-752887,-1003436,-5546172,4373041,34461 
0.285,-8388608,-6052349,-8231205,2232696,-841708,-4474389,4511064,158374 
0.285,-8388608,-5726382,-7599856,5098413,-551336,-3308127,4454834,116579 
0.285,-8388608,-6184066,-8298076,909064,-751007,-4785045,4097578,-192959 
0.286,-8376403,-6471089,-8381767,-2121201,-950649,-5911330,4190808,-122188 
0.286,-8367358,-6363924,-8372911,-751156,-1000459,-5543400,4375974,35067 
0.287,-8388608,-6045884,-8224386,2272613,-835467,-4456804,4514970,160883 
0.287,-8388608,-5727035,-7595156,5088708,-549814,-3310024,4452514,113705 
0.287,-8388608,-6193036,-8301914,824768,-755834,-4815931,4095671,-195663 
0.288,-8374284,-6471095,-8379659,-2126447,-951679,-5914581,4196308,-118414 
0.288,-8367328,-6363966,-8372886,-732874,-1002418,-5539667,4377406,35649 
0.289,-8388608,-6041900,-8212002,2316530,-832993,-4440695,4517788,162953 
0.289,-8388608,-5732182,-7596491,5072034,-553644,-3317911,4447128,109866 
0.289,-8388608,-6204958,-8312876,744671,-764886,-4847898,4092305,-198796 
0.290,-8372806,-6472747,-8378195,-2123409,-955271,-5916582,4200228,-115842 
0.290,-8367226,-6363532,-8372785,-709709,-1003981,-5533952,4379021,36051 
0.291,-8388608,-6037289,-8206231,2359786,-829634,-4424082,4520800,164452 
0.291,-8388608,-5733615,-7600972,5057806,-552682,-3321637,4445700,106724 
0.292,-8388608,-6211071,-8318656,678386,-767563,-4871584,4092518,-199709 
0.293,-8371120,-6472446,-8376508,-2123149,-955811,-5917706,4205134,-112191 
0.296,-8367476,-6363652,-8373032,-690054,-1005964,-5529773,4380065,37223 
0.297,-8388608,-6033512,-8201099,2405589,-827613,-4407827,4522660,166382 
0.298,-8388608,-5736883,-7600724,5048553,-554657,-3325983,4441625,103242 
0.298,-8388608,-6219272,-8321202,613421,-773007,-4896768,4090259,-201922 
0.298,-8370317,-6473106,-8375707,-2118217,-958173,-5918279,4208764,-108447 
0.299,-8368750,-6364642,-8374299,-665692,-1009498,-5524984,4379448,37579 
0.299,-8388608,-6032139,-8195647,2437799,-827532,-4397145,4523004,166673 
0.300,-8388608,-5738059,-7592272,5050197,-555164,-3325769,4439392,101194 
0.300,-8388608,-6225304,-8319464,563865,-776983,-4916099,4088106,-203871 
0.300,-8369103,-6473774,-8374493,-2120886,-959454,-5920539,4211982,-106697 
0.301,-8368250,-6364917,-8373797,-656506,-1010549,-5523102,4381033,37752 
0.301,-8388608,-6027445,-8187349,2482346,-824226,-4380052,4526268,169098 
0.302,-8388608,-5742517,-7594574,5028297,-557781,-3334632,4435008,97198 
0.302,-8388608,-6240454,-8325129,448078,-788187,-4961908,4084300,-207410 
0.303,-8367084,-6472952,-8372479,-2104657,-962125,-5918320,4219401,-100899 
0.303,-8368662,-6363616,-8374194,-620251,-1012662,-5514184,4382559,38333 
0.303,-8388608,-6021992,-8179552,2534667,-820657,-4360767,4528894,170698 
0.304,-8388608,-5747682,-7603298,5002048,-561266,-3345541,4429752,92850 
0.304,-8388608,-6250327,-8331264,367076,-795236,-4993329,4082906,-209691 
0.305,-8365512,-6471236,-8370914,-2088786,-962777,-5914560,4225431,-96832 
0.305,-8368721,-6362621,-8374241,-595973,-1013701,-5507986,4384113,38961 
0.305,-8388608,-6016545,-8170519,2587879,-816831,-4340812,4531518,172243 
0.306,-8388608,-5748188,-7599842,4997081,-559581,-3346124,4427383,89231 
0.306,-8388608,-6250917,-8336015,341422,-793137,-5000487,4084228,-209409 
0.307,-8365088,-6470614,-8370493,-2088906,-961552,-5914399,4227274,-95808 
0.307,-8369271,-6360039,-8374756,-573689,-1011565,-5499941,4386038,40323 
0.307,-8388608,-6007987,-8159527,2653798,-809295,-4314231,4534368,174368 
0.308,-8388608,-5748351,-7601072,4988188,-556731,-3346874,4424018,86147 
0.309,-8388608,-6249172,-8340682,337279,-788996,-4998571,4085401,-208752 
0.310,-8365469,-6471059,-8370870,-2094644,-960796,-5915748,4226622,-96041 
0.313,-8369872,-6358054,-8375327,-556541,-1009451,-5492598,4387394,40965 
0.313,-8388608,-6001235,-8155667,2701996,-802691,-4293599,4536658,175134 
0.316,-8388608,-5750771,-7608984,4959173,-555613,-3355270,4420669,82041 
0.316,-8388608,-6252640,-8346039,295540,-789364,-5011747,4086639,-208926 
0.316,-8364516,-6471053,-8369909,-2093717,-960329,-5915189,4229259,-95718 
0.316,-8369034,-6355445,-8374446,-544972,-1006591,-5487220,4390746,42211 
0.316,-8388608,-5994560,-8148568,2746738,-796356,-4274806,4540140,176891 
0.319,-8388608,-5752957,-7610037,4934582,-554963,-3363111,4417732,78376 
0.319,-8388608,-6258469,-8348607,232382,-791874,-5034319,4086992,-209872 
0.319,-8363311,-6469648,-8368706,-2084729,-959971,-5912921,4233564,-93014 
0.319,-8369325,-6353111,-8374661,-519094,-1005649,-5478958,4392961,43753 
0.319,-8388608,-5985966,-8133581,2820636,-789704,-4245981,4543302,179840 
0.321,-8388608,-5759598,-7619712,4896778,-558394,-3377365,4410042,72371 
0.322,-8388608,-6267574,-8358942,151918,-797241,-5063752,4086441,-211107 
0.323,-8362284,-6468951,-8367686,-2071477,-961227,-5910086,4238513,-89088 
0.323,-8370089,-6352369,-8375339,-486569,-1007182,-5469783,4394206,45018 
0.324,-8388608,-5977817,-8123079,2892734,-783449,-4218082,4545873,181363 
0.327,-8388608,-5760323,-7623822,4862391,-555232,-3387329,4406208,66663 
0.330,-8388608,-6273756,-8362495,75546,-799367,-5090576,4086785,-211745 
0.331,-8361404,-6469639,-8366807,-2060879,-963577,-5908695,4242391,-85301 
0.332,-8371009,-6351902,-8376146,-455172,-1009041,-5461386,4395062,46414 
0.332,-8388608,-5971988,-8115779,2956484,-779384,-4194241,4547251,182751 
0.333,-8388608,-5766381,-7637067,4824967,-557912,-3401020,4400357,61514 
0.333,-8388608,-6282116,-8367326,9310,-804957,-5115927,4085469,-213081 
0.334,-8361461,-6469779,-8366872,-2043593,-966263,-5905563,4245216,-82106 
0.335,-8372152,-6351006,-8377162,-423347,-1010381,-5452449,4395473,46628 
0.336,-8388608,-5965061,-8106024,3015563,-773761,-4170764,4549925,184619 
0.336,-8388608,-5772593,-7656594,4782229,-560702,-3416092,4395369,57206 
0.337,-8388608,-6292564,-8374997,-76811,-812140,-5148781,4084442,-214417 
0.337,-8359378,-6468349,-8364787,-2033593,-966574,-5903510,4251848,-78821 
0.338,-8371485,-6349624,-8376297,-407000,-1010551,-5448513,4398113,47128 
0.338,-8388608,-5958525,-8091146,3074692,-769068,-4148149,4553773,186748 
0.339,-8388608,-5776467,-7648625,4757888,-562238,-3425295,4390667,52256 
0.340,-8388608,-6304575,-8372954,-185959,-820011,-5190671,4082221,-217250 
0.340,-8357783,-6466187,-8363197,-2009651,-967649,-5897699,4259118,-72867 
0.341,-8372064,-6350551,-8376700,-380981,-1014322,-5443649,4398232,47592 
0.342,-8388608,-5952057,-8072157,3140058,-765342,-4124402,4556567,189836 
0.345,-8388608,-5779471,-7638609,4739103,-564371,-3433911,4384494,47243 
0.347,-8388608,-6315024,-8374589,-276774,-827967,-5226626,4079124,-220449 
0.347,-8357100,-6465323,-8362520,-1988651,-969909,-5893359,4263853,-69070 
0.348,-8372688,-6350764,-8377127,-356878,-1016942,-5438272,4398811,48213 
0.348,-8388608,-5947930,-8065216,3186913,-762651,-4107132,4558165,190469 
0.348,-8388608,-5785446,-7645559,4692869,-566821,-3450837,4380647,42617 
0.348,-8388608,-6325851,-8374946,-362558,-835717,-5260377,4078988,-220824 
0.349,-8356591,-6463992,-8362014,-1957902,-972299,-5886207,4269123,-64479 
0.349,-8373562,-6350414,-8377876,-326951,-1019469,-5431373,4399174,48728 
0.349,-8388608,-5943346,-8058740,3236298,-759908,-4089244,4559681,191863 
0.350,-8388608,-5789863,-7650231,4665694,-569257,-3461403,4376593,39105 
0.350,-8388608,-6332059,-8376784,-412194,-840087,-5279871,4078486,-221511 
0.350,-8356672,-6463127,-8362099,-1938844,-973709,-5881981,4271786,-61722 
0.351,-8374272,-6349433,-8378351,-301111,-1020084,-5423977,4399870,48761 
0.351,-8388608,-5938363,-8050792,3284399,-755991,-4070649,4561278,192739 
0.351,-8388608,-5795131,-7653526,4634153,-572057,-3473277,4371901,35118 
0.352,-8388608,-6337211,-8379457,-454154,-843619,-5296041,4078251,-222256 
0.352,-8356125,-6461649,-8361554,-1927897,-973539,-5879131,4274704,-60834 
0.352,-8374512,-6347054,-8378285,-281459,-1018952,-5417493,4401868,50169 
0.353,-8388608,-5932957,-8036907,3328026,-752352,-4054118,4562718,193959 
0.353,-8388608,-5795574,-7649087,4625309,-571552,-3475972,4369302,32808 
0.353,-8388608,-6336092,-8380377,-464756,-841577,-5298138,4079541,-221325 
0.354,-8355743,-6460999,-8361167,-1929604,-972834,-5879457,4275827,-59897 
0.354,-8375061,-6343351,-8378489,-256667,-1016576,-5408135,4403868,51943 
0.354,-8388608,-5924852,-8020791,3392988,-745159,-4027899,4564926,196143 
0.758,-8388608,-5800022,-7666751,4590819,-571991,-3487104,4364307,28107 
0.759,-8388608,-6336509,-8388579,-467281,-839592,-5296237,4081493,-220621 
0.763,-8355601,-6464004,-8361026,-1935659,-974077,-5881497,4275270,-60761 
0.764,-8375596,-6339722,-8378772,-224251,-1012506,-5394353,4407198,54203 
0.764,-8388608,-5917674,-8019504,3440034,-737444,-4007152,4566742,196191 
0.765,-8388608,-5800497,-7666240,4558336,-568168,-3495162,4362680,25177 
0.765,-8388608,-6334674,-8388608,-477347,-835471,-5296407,4084754,-218456 
0.766,-8355769,-6463864,-8361196,-1936172,-973047,-5881170,4275809,-60768 
0.766,-8376077,-6336749,-8378881,-202951,-1009426,-5385211,4409498,55509 
0.766,-8388608,-5912177,-8012901,3487053,-731887,-3987672,4567663,196222 
0.767,-8388608,-5806334,-7689706,4508618,-569973,-3512185,4358063,20519 
0.767,-8388608,-6338823,-8388608,-524760,-838167,-5313510,4085765,-217699 
0.767,-8355404,-6462890,-8360831,-1921738,-974354,-5877862,4278512,-57937 
0.768,-8376546,-6334622,-8378909,-174493,-1008989,-5375863,4410916,56274 
0.768,-8388608,-5905828,-8004046,3541766,-726974,-3965998,4568806,196697 
0.769,-8388608,-5813527,-7704232,4453591,-573167,-3531821,4352254,14850 
0.770,-8388608,-6347654,-8388608,-596067,-843204,-5339829,4086506,-218276 
0.770,-8354135,-6461594,-8359569,-1903648,-974221,-5872487,4284098,-54938 
0.771,-8376851,-6332454,-8378592,-144312,-1008341,-5366192,4413303,57783 
0.772,-8388608,-5898797,-7983516,3605312,-720885,-3940757,4571623,198638 
0.772,-8388608,-5816241,-7702788,4428395,-572776,-3539580,4348355,11061 
0.773,-8388608,-6352400,-8388608,-647559,-844901,-5357789,4086416,-218977 
0.773,-8353602,-6461907,-8359028,-1897511,-975191,-5871327,4286888,-52772 
0.774,-8377129,-6333038,-8378106,-130345,-1009763,-5362555,4414163,58643 
0.774,-8388608,-5893773,-7968484,3653564,-717164,-3922174,4573603,200831 
0.775,-8388608,-5822418,-7714880,4384295,-576135,-3556316,4343398,6046 
0.778,-8388608,-6359996,-8388608,-706356,-850562,-5380724,4086414,-219913 
0.780,-8352726,-6461257,-8358160,-1879429,-976651,-5866897,4290833,-50112 
0.780,-8377255,-6332430,-8378061,-109929,-1010621,-5356845,4415448,59126 
0.781,-8388608,-5891130,-7966694,3684536,-714847,-3910066,4574911,200386 
0.782,-8388608,-5827934,-7714773,4337951,-578763,-3573486,4340085,2387 
0.782,-8388608,-6368263,-8388608,-778459,-856685,-5409066,4087312,-219357 
0.783,-8352533,-6459690,-8357968,-1848972,-978447,-5859395,4295649,-45884 
0.783,-8378294,-6332727,-8378478,-83471,-1013282,-5350796,4415752,59776 
0.784,-8388608,-5887034,-7959246,3740967,-712807,-3889991,4575233,200965 
0.785,-8388608,-5837157,-7724499,4276760,-585418,-3598161,4332515,-3782 
0.785,-8388608,-6380792,-8388608,-881877,-867576,-5451224,4085916,-220052 
0.786,-8352619,-6457376,-8358065,-1804236,-982199,-5848894,4300648,-41182 
0.786,-8378484,-6333187,-8377769,-57433,-1016553,-5345164,4416091,59196 
0.786,-8388608,-5879753,-7936962,3810215,-707660,-3863248,4578588,203104 
0.787,-8388608,-5846462,-7724264,4208161,-590996,-3624651,4325051,-10795 
0.787,-8388608,-6394192,-8388608,-998317,-877184,-5496432,4086872,-220520 
0.787,-8351177,-6452878,-8356638,-1756712,-981921,-5834949,4309635,-35135 
0.788,-8378952,-6332966,-8377274,-31147,-1019017,-5339617,4417099,59976 
0.788,-8388608,-5875332,-7921522,3860061,-705041,-3845302,4580585,204708 
0.789,-8388608,-5855645,-7728082,4152780,-597077,-3647460,4318912,-16022 
0.789,-8388608,-6406432,-8388608,-1091931,-887382,-5535165,4086353,-220983 
0.790,-8351225,-6450242,-8356691,-1710355,-984425,-5823421,4315228,-30410 
0.791,-8379993,-6332859,-8377130,1406,-1022099,-5332361,4416961,60189 
0.792,-8388608,-5872866,-7909748,3908542,-704923,-3829579,4579446,204778 
0.793,-8388608,-5866201,-7738266,4089954,-604909,-3673417,4311496,-22652 
0.795,-8388608,-6413563,-8388608,-1149349,-893594,-5558362,4088522,-219330 
0.796,-8351107,-6448452,-8356574,-1674205,-986381,-5814251,4319141,-27096 
0.797,-8380919,-6329766,-8376923,41465,-1021512,-5319857,4418821,61592 
0.797,-8388608,-5864441,-7891332,3976584,-697807,-3802469,4581671,205364 
0.797,-8388608,-5870192,-7747392,4042029,-604937,-3689506,4307103,-26962 
0.798,-8388608,-6417246,-8388608,-1192785,-895028,-5573974,4089676,-218874 
0.798,-8350859,-6447051,-8356331,-1657124,-986331,-5809582,4321993,-25250 
0.799,-8381561,-6326100,-8376742,76013,-1019234,-5307626,4421228,63109 
0.799,-8388608,-5858206,-7885508,4028772,-692136,-3781603,4582639,205562 
0.799,-8388608,-5874556,-7759454,3999411,-605740,-3703816,4303314,-30962 
0.799,-8388608,-6418277,-8388608,-1207472,-895127,-5578669,4091236,-217698 
0.800,-8351297,-6447866,-8356771,-1650172,-988012,-5808747,4322079,-25057 
0.800,-8382149,-6322604,-8376432,105440,-1016754,-5296509,4423589,64449 
0.801,-8388608,-5851917,-7876024,4073143,-686144,-3763048,4584059,205959 
0.802,-8388608,-5876164,-7764491,3968318,-604113,-3712972,4301190,-33776 
0.802,-8388608,-6419174,-8388608,-1230101,-893902,-5584987,4093296,-217149 
0.803,-8350240,-6446902,-8355717,-1648971,-986589,-5807551,4324853,-24020 
0.804,-8382208,-6319802,-8375501,126681,-1014407,-5288171,4425939,65623 
0.805,-8388608,-5847995,-7865675,4102943,-682029,-3750531,4584850,205392 
0.807,-8388608,-5881343,-7776329,3918506,-605891,-3730590,4298120,-37564 
0.808,-8388608,-6420989,-8388608,-1256537,-894481,-5594281,4096373,-215509 
0.811,-8349774,-6446259,-8355256,-1637144,-986962,-5804743,4327266,-22947 
0.812,-8382232,-6316615,-8373237,150973,-1012056,-5279119,4428858,67072 
0.813,-8388608,-5839576,-7840414,4167802,-675439,-3724911,4586974,207037 
0.814,-8388608,-5894926,-7779426,3809296,-613896,-3772564,4288295,-47401 
0.814,-8388608,-6436272,-8388608,-1402130,-906240,-5651436,4099310,-214182 
0.815,-8349256,-6440629,-8354747,-1567630,-988727,-5786338,4336523,-15454 
0.816,-8382521,-6319704,-8372710,167434,-1018296,-5279882,4427855,66234 
0.816,-8388608,-5837884,-7836846,4205654,-675059,-3712676,4588443,207081 
0.817,-8388608,-5918005,-7797494,3651813,-632145,-3838694,4275418,-58536 
0.817,-8388608,-6465007,-8388608,-1618766,-933452,-5743815,4101274,-212227 
0.820,-8349641,-6433759,-8355150,-1436757,-996461,-5753486,4348687,-5242 
0.821,-8383195,-6324465,-8371084,201654,-1029414,-5278862,4425608,64503 
0.821,-8388608,-5834703,-7810897,4268753,-675980,-3693154,4590160,208574 
0.822,-8388608,-5944209,-7817817,3481617,-653624,-3910522,4261176,-70639 
0.822,-8388608,-6483532,-8387955,-1746858,-953466,-5800955,4107329,-206112 
0.823,-8350409,-6431202,-8355934,-1335073,-1005952,-5730412,4355513,977 
0.823,-8384139,-6324341,-8370052,252181,-1035207,-5268870,4425703,64482 
0.824,-8388608,-5830454,-7796381,4326832,-674978,-3674472,4590460,208583 
0.825,-8388608,-5955411,-7841415,3402639,-661966,-3943233,4254473,-76837 
0.828,-8388608,-6490066,-8388608,-1797314,-959804,-5823124,4110714,-204649 
0.829,-8350152,-6427374,-8355679,-1290797,-1006295,-5718699,4360672,4566 
0.829,-8385534,-6317957,-8367793,310368,-1031991,-5249687,4428873,67108 
0.830,-8388608,-5817556,-7749056,4429081,-664300,-3634647,4593209,210601 
0.830,-8388608,-5913201,-7801347,3667245,-623576,-3829437,4272063,-62719 
0.830,-8388608,-6433190,-8388608,-1393339,-902934,-5648390,4108956,-207509 
0.831,-8349415,-6440976,-8354904,-1542447,-991015,-5783620,4337693,-15778 
0.831,-8385370,-6299049,-8366330,319671,-1002730,-5222941,4440228,75353 
0.831,-8388608,-5805689,-7754634,4460826,-646911,-3612001,4592004,208748 
