ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-3914191,-3807281,-3819238,-3835805,-4073527,-4465910,-4406827,-945472 
-3879299,-3780815,-3703282,-3717548,-4076618,-4456417,-4380539,-923359 
-3859397,-3761319,-3693881,-3710982,-4072429,-4450296,-4365249,-903387 
-3873422,-3765772,-3801654,-3823225,-4057142,-4446882,-4373534,-901791 
-3908251,-3793652,-3880506,-3901329,-4057440,-4456757,-4400372,-925572 
-3950178,-3842657,-3829468,-3844066,-4108904,-4501541,-4443196,-979316 
-3973811,-3881107,-3720382,-3731269,-4176709,-4553719,-4475596,-1026816 
-3920749,-3828311,-3698184,-3714389,-4139767,-4514333,-4426925,-974349 
-3924757,-3822661,-3805302,-3825777,-4114684,-4500902,-4425092,-963344 
-3926092,-3815051,-3877939,-3899444,-4079226,-4475997,-4418132,-950859 
-3906798,-3797414,-3819348,-3836680,-4063532,-4456464,-4399478,-934061 
-3917786,-3820217,-3713559,-3725999,-4115623,-4494696,-4419470,-963352 
-3934105,-3841727,-3703637,-3718366,-4153264,-4527957,-4440758,-988264 
-3942592,-3841544,-3806419,-3826259,-4134396,-4520173,-4443624,-984483 
-3936114,-3825282,-3878256,-3899601,-4090771,-4487396,-4428683,-963916 
-3912435,-3802991,-3820159,-3837507,-4070099,-4463064,-4405447,-942239 
-3899319,-3799784,-3708418,-3722113,-4096266,-4476008,-4401079,-944496 
-3890292,-3792975,-3695565,-3711481,-4105946,-4482393,-4396976,-938638 
-3915468,-3810651,-3802363,-3822604,-4104764,-4491985,-4416762,-952041 
-3941018,-3829222,-3881141,-3901594,-4095171,-4492290,-4433961,-967192 
-3952334,-3845254,-3828792,-3844304,-4112280,-4504169,-4445530,-986250 
-3963271,-3870489,-3719534,-3731007,-4165787,-4542523,-4464979,-1018117 
-3947079,-3858179,-3700831,-3715461,-4170087,-4542492,-4453613,-1007704 
-3925332,-3826044,-3798491,-3819351,-4119467,-4503664,-4426285,-969509 
-3936599,-3828542,-3878969,-3900074,-4093679,-4488687,-4429175,-967047 
-3920544,-3814569,-3823490,-3840811,-4080409,-4471519,-4413286,-954151 
-3892877,-3795699,-3709068,-3723199,-4090684,-4468962,-4394369,-939867 
-3890671,-3796119,-3695397,-3711345,-4108379,-4483085,-4397399,-941584 
-3908821,-3806447,-3799912,-3820487,-4100399,-4486116,-4410304,-947191 
-3924024,-3813494,-3879779,-3901024,-4078993,-4475433,-4417157,-949747 
-3934231,-3827562,-3830532,-3846681,-4093374,-4485298,-4427416,-966078 
-3937224,-3842757,-3717751,-3730147,-4137619,-4515068,-4438864,-988707 
-3881617,-3786720,-3690370,-3707139,-4099081,-4473991,-4388227,-931844 
-3904893,-3801665,-3797721,-3818029,-4096109,-4481914,-4406355,-941944 
-3930264,-3819052,-3878821,-3899636,-4085451,-4481726,-4423376,-956306 
-3926947,-3817889,-3827461,-3844006,-4084876,-4477228,-4420097,-957642 
-3920629,-3822351,-3714992,-3727707,-4118201,-4496776,-4422303,-968204 
-3928266,-3834663,-3697874,-3712419,-4148417,-4521967,-4435274,-983769 
-3935099,-3833547,-3797644,-3817399,-4129881,-4513949,-4436819,-978636 
-3960539,-3851677,-3882045,-3902019,-4119261,-4513764,-4453591,-993362 
-3946784,-3840586,-3829779,-3846302,-4107565,-4498451,-4439588,-983892 
-3944867,-3850350,-3719508,-3731566,-4145664,-4522671,-4446121,-999937 
-4010342,-3925756,-3712070,-3723454,-4239118,-4608735,-4517027,-1082526 
-4011806,-3922244,-3804372,-3822906,-4217826,-4596474,-4513099,-1076164 
-3936156,-3832170,-3871392,-3894316,-4098939,-4491167,-4428507,-977532 
-3911097,-3806502,-3825124,-3843284,-4072471,-4462590,-4403122,-951176 
-3904131,-3809513,-3713722,-3727656,-4103982,-4480835,-4404543,-959673 
-3874957,-3781818,-3687938,-3704858,-4094613,-4467884,-4380786,-932067 
-3887831,-3785606,-3791205,-3812207,-4081637,-4465959,-4388907,-930393 
-3938047,-3829562,-3880664,-3901432,-4096915,-4491200,-4430679,-971749 
-3899356,-3789752,-3825282,-3843756,-4056689,-4448814,-4391405,-932302 
-3890922,-3791282,-3714645,-3728582,-4086489,-4465376,-4391401,-938792 
-3892600,-3797884,-3693910,-3709399,-4111002,-4484747,-4398650,-946317 
-3927088,-3826959,-3795857,-3815651,-4123386,-4506346,-4428486,-972242 
-3916725,-3806507,-3876058,-3897975,-4073875,-4468577,-4409669,-945700 
-3915666,-3807605,-3831826,-3849261,-4073403,-4464880,-4408364,-947960 
-3913526,-3816387,-3719772,-3732947,-4110618,-4488394,-4414762,-963081 
-3905799,-3812854,-3693749,-3709191,-4126102,-4498764,-4412804,-961724 
-3904694,-3802834,-3789523,-3810275,-4100151,-4483520,-4407118,-947205 
-3919001,-3807401,-3877279,-3898744,-4076080,-4471134,-4412935,-947227 
-3929281,-3821524,-3835909,-3852919,-4087711,-4479011,-4422682,-962388 
-3924518,-3828031,-3722933,-3735832,-4122294,-4499765,-4426327,-975255 
-3911658,-3819260,-3694691,-3709755,-4132811,-4505170,-4419391,-968752 
-3914478,-3813852,-3790891,-3811124,-4111662,-4494382,-4417701,-958881 
-3926506,-3816769,-3879025,-3900237,-4085279,-4479474,-4421311,-956322 
-3941034,-3834723,-3838341,-3854977,-4100949,-4491447,-4435341,-976704 
-3919326,-3822849,-3721896,-3735111,-4117008,-4494301,-4421934,-970450 
-3918769,-3826774,-3695571,-3710288,-4140627,-4512492,-4427231,-977132 
-3924917,-3824712,-3790062,-3810070,-4123703,-4505529,-4428862,-971617 
-3915362,-3805167,-3875059,-3897192,-4074172,-4468132,-4410662,-944940 
-3922747,-3814587,-3836959,-3854128,-4080736,-4471896,-4417166,-955465 
-3927735,-3831194,-3724947,-3737517,-4125234,-4502296,-4430332,-979447 
-3934324,-3843219,-3696855,-3710938,-4157472,-4528291,-4442706,-995576 
-3905331,-3805057,-3784629,-3805508,-4103512,-4484954,-4409008,-950384 
-3927477,-3818247,-3878947,-3899866,-4086876,-4480086,-4422452,-958136 
-3934306,-3827739,-3838115,-3855350,-4093277,-4483399,-4428188,-969572 
-3898246,-3799089,-3720680,-3734473,-4092786,-4470677,-4400296,-945987 
-3921484,-3829702,-3696362,-3710681,-4142980,-4514061,-4429587,-979737 
-3903561,-3802971,-3784869,-3805581,-4101051,-4482503,-4406932,-947049 
-3909019,-3798298,-3874931,-3896959,-4066482,-4460328,-4403429,-936324 
-3900488,-3790271,-3836397,-3854359,-4054597,-4446682,-4393599,-928145 
-3904069,-3804914,-3725488,-3738704,-4096601,-4474972,-4405181,-949052 
-3880452,-3784465,-3689499,-3705281,-4096622,-4469793,-4387401,-930079 
-3883727,-3779427,-3783147,-3803751,-4077111,-4460416,-4386397,-919685 
-3914922,-3802152,-3878280,-3899356,-4070204,-4464957,-4408733,-937818 
-3946271,-3837969,-3846349,-3862458,-4101797,-4492931,-4438815,-976188 
-3905549,-3806144,-3723456,-3737356,-4097318,-4475552,-4405919,-949301 
-3887732,-3791753,-3690404,-3705781,-4103579,-4476559,-4394284,-936542 
-3889878,-3785857,-3782509,-3803057,-4083533,-4466627,-4392370,-925591 
-3907027,-3793469,-3876019,-3897755,-4061274,-4456601,-4400627,-927569 
-3900097,-3786810,-3839512,-3857446,-4050350,-4444182,-4392347,-921154 
-3894155,-3790277,-3726412,-3739788,-4081627,-4462424,-4394613,-931304 
-3906768,-3810182,-3695937,-3710241,-4121977,-4495751,-4413679,-953922 
-3910277,-3806751,-3785819,-3805611,-4104767,-4487934,-4413244,-946186 
-3923254,-3810516,-3878773,-3900239,-4078633,-4473886,-4417557,-944734 
-3910294,-3797753,-3842566,-3860612,-4061152,-4454951,-4403252,-931764 
-3933282,-3833365,-3736361,-3748399,-4123524,-4502912,-4434260,-974773 
-3932807,-3839751,-3696953,-3711284,-4151266,-4523379,-4440039,-985352 
-3892119,-3788527,-3778581,-3799614,-4086866,-4469677,-4395239,-927527 
-3901799,-3787578,-3873377,-3895537,-4056220,-4451601,-4396079,-920509 
-3912044,-3799637,-3841902,-3859654,-4063174,-4456430,-4404983,-933364 
-3882361,-3778890,-3722437,-3736807,-4069275,-4449609,-4383311,-917009 
-3880295,-3781800,-3686427,-3701574,-4093705,-4467658,-4387786,-922161 
-3906777,-3802332,-3778826,-3798149,-4101395,-4484050,-4410499,-939715 
-3933708,-3819616,-3873655,-3894557,-4089922,-4484501,-4428465,-954611 
-3910522,-3796847,-3838324,-3856725,-4060901,-4454369,-4403496,-930447 
-3880647,-3774255,-3721634,-3736227,-4065701,-4446996,-4381501,-913119 
-3871544,-3770333,-3686286,-3701807,-4083012,-4457888,-4379103,-909921 
-3922792,-3818814,-3783977,-3802691,-4118132,-4500559,-4426897,-955440 
-3926051,-3812600,-3876036,-3897607,-4081737,-4476404,-4421159,-943629 
-3916657,-3803159,-3845326,-3863491,-4066562,-4460131,-4410050,-934421 
-3888278,-3782617,-3728931,-3743417,-4072984,-4454140,-4389496,-919186 
-3883090,-3783259,-3689776,-3705144,-4095133,-4469506,-4390906,-921287 
-3902917,-3796837,-3777515,-3797322,-4096883,-4479741,-4407088,-931822 
-3924164,-3808983,-3875236,-3896699,-4079110,-4474058,-4419457,-939335 
-3936497,-3824022,-3851286,-3868672,-4087022,-4480154,-4429942,-954662 
-3931284,-3830088,-3738546,-3751819,-4119170,-4498459,-4432425,-966966 
-3913982,-3817958,-3694546,-3709275,-4129625,-4501928,-4421800,-957461 
-3934692,-3833552,-3783587,-3802599,-4133387,-4513683,-4438992,-970247 
-3945375,-3835061,-3879595,-3900735,-4104674,-4497282,-4440641,-966601 
-3950146,-3840660,-3851957,-3869266,-4104050,-4495417,-4443453,-974372 
-3905304,-3803111,-3730196,-3744798,-4093162,-4472269,-4406185,-941833 
-3897727,-3800529,-3689486,-3704520,-4113461,-4485537,-4405467,-941517 
-3917936,-3815602,-3777432,-3796999,-4117003,-4496998,-4422466,-953197 
-3925460,-3813812,-3873862,-3895610,-4084567,-4477137,-4420996,-944998 
-3929709,-3818177,-3847186,-3865224,-4082582,-4474314,-4423159,-951212 
-3900271,-3797447,-3730577,-3744867,-4087606,-4466752,-4401294,-934917 
-3923284,-3829250,-3692991,-3706662,-4141774,-4512276,-4431261,-970423 
-3932091,-3833184,-3774576,-3793519,-4134492,-4512606,-4436984,-971046 
-3952766,-3845414,-3873687,-3894172,-4116440,-4506565,-4448773,-978517 
-3940717,-3833493,-3845582,-3863384,-4096997,-4486478,-4434359,-966777 
-3911659,-3813054,-3729454,-3743470,-4102088,-4478906,-4412691,-951104 
-3881359,-3786252,-3681386,-3696743,-4098665,-4468878,-4389227,-925820 
-3919354,-3819804,-3772752,-3791184,-4121706,-4499320,-4424442,-957077 
-3937134,-3828914,-3870357,-3891602,-4100817,-4490492,-4433374,-961669 
-3907866,-3797189,-3843372,-3862081,-4061330,-4451542,-4401611,-928685 
-3897646,-3796536,-3732402,-3746274,-4085839,-4463188,-4398961,-932821 
-3899081,-3804210,-3688184,-3702541,-4117036,-4486604,-4407432,-943660 
-3920622,-3820851,-3772973,-3791880,-4123602,-4500536,-4425975,-957705 
-3943097,-3834511,-3874633,-3895402,-4107016,-4496232,-4439401,-966504 
-3936440,-3827692,-3851501,-3869187,-4091834,-4480857,-4430067,-959901 
-3976971,-3882767,-3747922,-3758989,-4171897,-4545812,-4478182,-1024116 
-3933377,-3843841,-3689098,-3703400,-4157016,-4523454,-4441364,-988355 
-3939407,-3843935,-3773257,-3791808,-4147301,-4521641,-4444584,-985058 
-3949917,-3844932,-3873132,-3894402,-4118124,-4505126,-4446098,-980782 
-3920126,-3812375,-3848994,-3867919,-4077185,-4465200,-4413640,-946951 
-3907529,-3808068,-3737040,-3751018,-4098624,-4474059,-4408486,-948913 
-3905756,-3812879,-3686327,-3700596,-4127575,-4494718,-4413798,-957672 
-3928665,-3832223,-3768277,-3786861,-4136961,-4510856,-4433892,-973653 
-3932932,-3826319,-3867643,-3889166,-4100966,-4487684,-4429122,-961987 
-3927106,-3820057,-3848035,-3866415,-4085557,-4472349,-4420557,-955200 
-3901457,-3802980,-3733197,-3747381,-4093082,-4467282,-4402148,-942427 
-3886959,-3793892,-3681539,-3696390,-4108308,-4474575,-4394827,-935930 
-3906622,-3808266,-3765291,-3784190,-4113564,-4487176,-4411919,-947280 
-3963267,-3858519,-3877022,-3896936,-4133302,-4518332,-4459741,-994656 
-3982899,-3880111,-3863309,-3879382,-4145246,-4529435,-4476539,-1018117 
-3986562,-3896150,-3749307,-3760991,-4185810,-4555736,-4487280,-1042517 
-3929657,-3842731,-3685349,-3699744,-4157211,-4520034,-4437416,-991216 
-3922529,-3828240,-3763336,-3782703,-4134364,-4505379,-4427647,-973121 
-3926664,-3822018,-3868286,-3890335,-4097164,-4481609,-4422789,-959906 
-3924844,-3819044,-3854209,-3872972,-4084142,-4469331,-4418154,-956442 
-3910144,-3813574,-3741291,-3755291,-4102642,-4475190,-4410616,-955933 
-3932102,-3844286,-3691362,-3704344,-4158194,-4521144,-4439807,-992216 
-3930926,-3836827,-3763794,-3782649,-4143306,-4513444,-4436085,-983039 
-3917509,-3811929,-3866641,-3888908,-4087379,-4471369,-4413614,-949847 
-3925382,-3819262,-3857211,-3875619,-4084099,-4468798,-4418514,-956286 
-3953796,-3860144,-3752383,-3764307,-4149025,-4519555,-4454072,-1005147 
-3955882,-3870411,-3692859,-3705892,-4185137,-4545863,-4463426,-1022119 
-3948095,-3857577,-3767237,-3785638,-4163863,-4531787,-4453183,-1005184 
-3982739,-3884158,-3877457,-3897571,-4160221,-4540464,-4478841,-1028136 
-3975016,-3874983,-3861657,-3879676,-4141286,-4522319,-4467719,-1020659 
-3928937,-3836795,-3745627,-3759767,-4125989,-4495285,-4428506,-985182 
-3923899,-3838981,-3688867,-3702967,-4153305,-4513684,-4430989,-991283 
-3918029,-3826929,-3762176,-3781584,-4133828,-4501615,-4422989,-975719 
-3933513,-3832136,-3870696,-3892452,-4108802,-4489959,-4429764,-975359 
-3969958,-3870232,-3867692,-3884789,-4135892,-4516830,-4463112,-1015419 
-3930420,-3838685,-3748096,-3762234,-4127840,-4496492,-4430282,-988552 
-3941812,-3858518,-3694374,-3707314,-4173074,-4532067,-4449284,-1013258 
-3964498,-3878146,-3768531,-3786131,-4185807,-4550657,-4469824,-1032125 
-3934435,-3835299,-3866479,-3889136,-4112752,-4492079,-4430596,-982161 
-3900214,-3796139,-3855861,-3875916,-4062057,-4444484,-4393102,-939726 
-3901038,-3806444,-3748893,-3763189,-4095238,-4465319,-4401059,-955126 
-3896491,-3808941,-3688486,-3702908,-4123521,-4484559,-4404349,-961296 
-3891025,-3797241,-3758977,-3778716,-4105213,-4473564,-4397051,-945760 
-3917215,-3813422,-3870520,-3892351,-4091232,-4472873,-4414426,-956425 
-3960187,-3858071,-3871626,-3888699,-4124064,-4505882,-4454197,-1002934 
-3928167,-3834801,-3752172,-3766454,-4123790,-4493263,-4428839,-985331 
-3893301,-3804034,-3687217,-3701973,-4119432,-4480917,-4401576,-957204 
-3884279,-3789414,-3756000,-3775986,-4097937,-4466671,-4390843,-937796 
-3896227,-3790142,-3866452,-3888845,-4068407,-4451179,-4394087,-931717 
-3899029,-3790991,-3861726,-3881177,-4057090,-4441748,-4393569,-931309 
-3891297,-3792532,-3751616,-3766121,-4081042,-4453404,-4392737,-937664 
-3898764,-3808201,-3690895,-3704741,-4122964,-4485421,-4408078,-957844 
-3923295,-3829862,-3763329,-3781433,-4138571,-4506548,-4430986,-977763 
-3945178,-3842622,-3872509,-3893514,-4121176,-4501979,-4443946,-985544 
-3944072,-3840124,-3867927,-3886301,-4106006,-4488564,-4438995,-982449 
-3921869,-3826622,-3754280,-3768573,-4114736,-4485051,-4423140,-973995 
-3886984,-3796579,-3685599,-3700612,-4111111,-4472851,-4395707,-946584 
-3888054,-3791946,-3754245,-3773838,-4101015,-4469417,-4394994,-938519 
