status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0.172,-2306146,-1746187,-2027144,-1955964,-4109196,-3918931,-2069812,-457784 
0.178,-2322897,-1049909,-1312108,-1241379,-4168651,-3956182,-1358549,-325170 
0.179,-2330901,-1098051,-1383126,-1311296,-4211006,-3984848,-1424916,-336634 
0.180,-2308492,-1851562,-2170931,-2097837,-4165461,-3952979,-2205692,-477574 
0.181,-2297229,-2240916,-2556413,-2483600,-4108264,-3916370,-2591906,-548458 
0.182,-2302478,-1743596,-2024529,-1953149,-4107456,-3914016,-2067106,-457128 
0.183,-2319307,-1045041,-1307206,-1236406,-4167319,-3951616,-1353646,-323970 
0.184,-2327816,-1095425,-1380567,-1308681,-4210151,-3980956,-1422335,-335352 
0.185,-2304855,-1850191,-2169611,-2096563,-4164045,-3948688,-2204482,-476442 
0.188,-2292802,-2236744,-2552262,-2479519,-4106367,-3911442,-2587884,-547248 
0.193,-2297861,-1737486,-2018424,-1947142,-4105655,-3909074,-2061081,-455973 
0.194,-2314647,-1040817,-1303100,-1232461,-4165269,-3946547,-1349686,-323316 
0.195,-2322975,-1092881,-1377884,-1306523,-4207891,-3975799,-1419926,-335115 
0.196,-2300336,-1846287,-2165471,-2093124,-4162194,-3944003,-2200456,-475949 
0.197,-2288623,-2231729,-2546934,-2474915,-4104974,-3907292,-2582595,-546373 
0.198,-2293532,-1734180,-2014864,-1944256,-4104122,-3904876,-2057650,-455112 
0.199,-2310594,-1038735,-1300768,-1230613,-4164064,-3942692,-1347362,-322457 
0.200,-2319218,-1087922,-1372901,-1301854,-4207054,-3972108,-1414719,-333566 
0.201,-2296603,-1837276,-2156371,-2084120,-4161505,-3940193,-2191171,-473677 
0.202,-2284462,-2223636,-2539071,-2467299,-4103879,-3902942,-2574521,-544515 
0.204,-2289544,-1728690,-2009932,-1939681,-4103042,-3900431,-2052522,-453852 
0.209,-2307170,-1036675,-1299608,-1229926,-4163388,-3938705,-1346079,-321094 
0.211,-2316762,-1090054,-1376130,-1305397,-4207063,-3968942,-1417851,-332244 
0.212,-2293838,-1840058,-2160312,-2088266,-4160932,-3936415,-2194949,-472848 
0.213,-2280601,-2220509,-2536274,-2464840,-4102214,-3897960,-2571763,-543539 
0.215,-2284999,-1722678,-2003951,-1933867,-4100787,-3894852,-2046535,-452974 
0.215,-2302094,-1027507,-1290309,-1220758,-4161272,-3933126,-1336769,-320099 
0.217,-2310755,-1081408,-1367439,-1296884,-4204657,-3963029,-1409151,-331912 
0.218,-2287401,-1831142,-2151051,-2079424,-4158369,-3930387,-2185665,-472492 
