ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-3287372,-3095178,-3307574,-2997619,-3212196,-2890652,-2929754,-725270 
-3089191,-2883019,-3131302,-2787466,-3003191,-2678211,-2720070,-673286 
-2992824,-2792005,-3019417,-2695442,-2911313,-2587185,-2626485,-655617 
-3127943,-2944176,-3123181,-2845096,-3059891,-2739582,-2774158,-697096 
-3315629,-3137587,-3306300,-3037880,-3251787,-2933167,-2967234,-740206 
-3291729,-3099897,-3311285,-3002334,-3216747,-2895083,-2933303,-726243 
-3096433,-2890792,-3138235,-2795224,-3010757,-2685601,-2726756,-675879 
-3005702,-2805397,-3031542,-2709046,-2924597,-2600346,-2638880,-662846 
-3144898,-2961443,-3139212,-2862782,-3077164,-2756732,-2790552,-707249 
-3322727,-3144766,-3312397,-3045551,-3259131,-2940312,-2973677,-741451 
-3294982,-3103059,-3313797,-3005851,-3220159,-2898312,-2936124,-724579 
-3102612,-2896662,-3143927,-2801404,-3016915,-2691687,-2732536,-679392 
-3011016,-2810641,-3036033,-2714498,-2930070,-2605807,-2643988,-665044 
-3151446,-2968089,-3144534,-2869647,-3083946,-2763624,-2797169,-706962 
-3332784,-3154591,-3322317,-3055557,-3268997,-2950236,-2983443,-745684 
-3301403,-3109428,-3320546,-3012468,-3226563,-2904804,-2942332,-727037 
-3107287,-2901406,-3149428,-2806548,-3021646,-2696462,-2737176,-681789 
-3012977,-2812583,-3038534,-2716893,-2932057,-2607875,-2645911,-664824 
-3151603,-2968772,-3144722,-2870776,-3084639,-2764481,-2797333,-701636 
-3341684,-3163802,-3331786,-3065272,-3278298,-2959672,-2992084,-744607 
-3309827,-3117701,-3330314,-3021478,-3235020,-2913288,-2950040,-727561 
-3107842,-2901582,-3150672,-2807300,-3022074,-2696824,-2736594,-676407 
-3019733,-2819431,-3044779,-2724114,-2938907,-2614840,-2651662,-662772 
-3166477,-2983397,-3159787,-2885681,-3099271,-2779121,-2810952,-707054 
