ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4100144,-4252847,-4143421,-3922997,-4226375,-4141496,-4100249,-1432902 
-4085724,-4238689,-4128330,-3908334,-4212224,-4127346,-4086402,-1428939 
-4101070,-4254898,-4141952,-3921502,-4228209,-4142662,-4102647,-1429996 
-4124838,-4279247,-4164697,-3943374,-4252346,-4166297,-4126617,-1424789 
-4124246,-4277583,-4165488,-3944273,-4250897,-4165309,-4124729,-1422311 
-4097812,-4250837,-4139495,-3919278,-4224356,-4139116,-4097906,-1405056 
-4085906,-4238532,-4128432,-3908488,-4212105,-4127253,-4085831,-1409066 
-4101603,-4255422,-4142316,-3922217,-4228735,-4143024,-4102601,-1420505 
-4115978,-4272484,-4149926,-3929125,-4245289,-4157673,-4119373,-1342199 
-4114922,-4269414,-4150579,-3928927,-4242531,-4155771,-4116674,-1277850 
-4101298,-4251969,-4145346,-3924229,-4225891,-4141447,-4099716,-1328839 
-4084072,-4237383,-4125739,-3906335,-4211129,-4125579,-4084932,-1353412 
-4090402,-4246342,-4124284,-3903927,-4219496,-4132127,-4093857,-1250765 
-4116691,-4271604,-4151454,-3929892,-4244892,-4157691,-4119414,-1217302 
-4118362,-4271441,-4156504,-3934730,-4245123,-4158894,-4119564,-1209985 
-4096207,-4248069,-4137523,-3916661,-4222060,-4136835,-4096438,-1222131 
-4090095,-4240602,-4135424,-3915177,-4214860,-4130619,-4088991,-1291465 
-4098176,-4252475,-4136456,-3916397,-4226075,-4139774,-4100503,-1269904 
-4129297,-4281047,-4170576,-3948709,-4254727,-4169371,-4129299,-1292906 
-4135655,-4285456,-4183070,-3961572,-4259487,-4175432,-4133619,-1400129 
-4096902,-4250559,-4137572,-3917974,-4224208,-4138584,-4098317,-1356452 
-4089774,-4240603,-4133831,-3913316,-4214532,-4130327,-4088440,-1355059 
-4109897,-4261927,-4154552,-3934550,-4235657,-4150901,-4109350,-1439551 
-4127239,-4281016,-4166629,-3945624,-4254192,-4168156,-4128368,-1406597 
-4126399,-4278827,-4168031,-3946711,-4252235,-4166919,-4126279,-1406216 
-4101082,-4253008,-4144616,-3924216,-4226666,-4141919,-4100537,-1413587 
-4085387,-4238286,-4127052,-3907439,-4211800,-4126632,-4085727,-1401682 
-4102996,-4256279,-4143289,-3922804,-4229513,-4143936,-4103425,-1397252 
-4128857,-4282146,-4169509,-3948233,-4255316,-4169612,-4129287,-1420087 
-4124279,-4277392,-4164866,-3943542,-4250648,-4165068,-4124654,-1403893 
-4099975,-4251927,-4142994,-3922262,-4225514,-4140799,-4099407,-1406087 
