status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0.000,2893498,3263707,1376691,2931914,3651154,653338,1558200,5464 
0.001,2884783,3193461,1347296,2916029,3623256,648837,1522474,4224 
0.002,2878173,3194057,1349073,2917181,3677876,642958,1530508,-3433 
0.007,2881249,3260681,1382411,2937444,3816791,643953,1578644,-5505 
0.014,2892521,3303283,1398049,2944653,3784561,649160,1592564,-3298 
0.015,2893109,3261578,1375886,2931448,3649632,653199,1557216,5681 
0.017,2884468,3191664,1346688,2915670,3623026,648528,1521864,4016 
0.018,2878010,3193652,1349239,2917199,3679469,642706,1530762,-3694 
0.019,2881390,3260834,1382791,2937496,3817868,643941,1578899,-5635 
0.020,2893038,3302715,1398378,2944899,3783899,649472,1592649,-3226 
0.021,2893612,3260642,1376128,2931787,3648250,653559,1557239,5771 
0.022,2884794,3191390,1346956,2915868,3622483,648737,1522054,3993 
0.024,2878294,3194229,1349924,2917688,3680639,643001,1531642,-3521 
0.025,2881801,3261288,1383441,2937921,3819488,644217,1579653,-5544 
0.031,2893222,3302239,1398195,2944756,3780443,649530,1592248,-3251 
0.032,2893366,3258555,1375295,2931152,3645931,653468,1556183,5735 
0.033,2884596,3190194,1346702,2915708,3621944,648791,1521783,4006 
0.034,2877996,3194264,1350181,2917929,3682940,642831,1532320,-3737 
0.035,2881819,3261968,1383816,2938030,3819376,644166,1580243,-5676 
0.036,2893124,3302058,1397951,2944488,3776493,649626,1591929,-3010 
0.037,2892927,3256862,1374534,2930618,3643542,653336,1555314,5920 
0.038,2884101,3188616,1346028,2915243,3621806,648369,1521126,3765 
0.039,2877951,3194551,1350510,2918046,3685397,642760,1532805,-3782 
0.040,2882163,3262444,1384416,2938468,3821656,644264,1581042,-5696 
0.041,2893615,3301583,1398076,2944739,3774044,649798,1591918,-3008 
0.048,2893126,3255096,1374347,2930654,3642049,653572,1554939,6103 
0.049,2884286,3187006,1346041,2915319,3622397,648509,1521129,3718 
0.050,2878031,3194826,1350977,2918265,3685796,642848,1533523,-3932 
0.051,2882131,3263359,1384898,2938654,3820466,644336,1581754,-5696 
0.052,2893241,3300756,1397674,2944207,3771165,649717,1591329,-2911 
0.054,2892849,3253638,1373668,2930267,3641744,653430,1554302,6124 
0.056,2884133,3186498,1345819,2915224,3621398,648343,1521056,3568 
0.057,2877908,3195748,1351779,2919394,3688088,642757,1535104,-3904 
0.060,2882337,3264470,1385725,2940042,3822792,644385,1583373,-5597 
0.068,2893406,3300016,1397480,2944108,3769014,649744,1591001,-2907 
0.070,2892604,3252083,1373179,2929881,3638778,653378,1553549,6171 
0.071,2883806,3185550,1345635,2914989,3621455,648231,1520898,3524 
0.072,2877840,3195235,1351806,2918699,3688996,642722,1534836,-3976 
0.073,2882590,3263689,1385748,2939242,3823436,644549,1582875,-5536 
0.084,2893971,3298881,1397508,2944361,3766658,650138,1590929,-2643 
0.085,2892928,3249720,1372646,2929753,3638105,653569,1552909,6244 
0.086,2883928,3184717,1345348,2914816,3619904,648078,1520603,3256 
0.087,2877959,3195594,1352230,2919046,3691393,642743,1535641,-3981 
0.088,2882841,3264457,1386318,2939534,3824883,644613,1583653,-5729 
0.088,2894115,3299105,1397553,2944183,3763980,650239,1590793,-2642 
0.089,2892858,3248836,1372528,2929714,3636070,653590,1552725,6366 
0.089,2883849,3184133,1345457,2915221,3619814,648197,1520852,3395 
0.090,2877808,3196234,1352609,2919328,3692409,642694,1536186,-4026 
0.090,2882851,3265464,1386943,2940291,3825743,644579,1584624,-5647 
0.100,2894013,3299502,1397727,2945133,3761899,650109,1591394,-2587 
0.101,2892606,3247319,1371843,2929416,3634717,653468,1551924,6436 
0.102,2883674,3182646,1345008,2914738,3619306,647951,1520270,3169 
0.103,2877739,3196104,1352884,2919410,3693741,642585,1536714,-4114 
0.104,2882987,3265163,1387094,2940024,3825025,644574,1584681,-5628 
0.104,2893934,3297208,1396893,2943588,3758103,650128,1589634,-2378 
0.105,2892383,3244831,1371225,2928958,3635027,653410,1551151,6489 
0.105,2883596,3181360,1344886,2914623,3619919,647851,1520159,2909 
0.106,2877790,3196807,1353508,2919771,3694504,642624,1537528,-4263 
0.107,2883043,3266264,1387640,2940213,3824638,644663,1585299,-5730 
0.113,2894120,3297221,1397219,2944093,3756478,650308,1590031,-2252 
0.118,2892455,3244873,1371721,2930514,3634564,653448,1552304,6581 
0.118,2883534,3181227,1344907,2914889,3619673,647686,1520281,2824 
0.119,2877822,3197089,1353964,2920099,3696718,642580,1538088,-4211 
0.120,2883302,3266706,1388078,2940439,3825706,644715,1585706,-5602 
0.120,2894313,3296458,1396955,2943637,3754109,650378,1589398,-2094 
0.121,2892351,3242231,1370574,2928650,3632669,653326,1550198,6578 
0.121,2883450,3180043,1344616,2914466,3618615,647519,1519849,2646 
0.122,2877726,3197009,1354292,2920388,3697250,642464,1538738,-4282 
0.123,2883464,3266405,1388323,2940645,3826106,644817,1586070,-5552 
0.123,2894341,3295436,1396677,2943496,3752111,650384,1589019,-2106 
0.124,2892319,3241174,1370394,2928536,3630988,653344,1549942,6598 
0.129,2883366,3179639,1344699,2914518,3618623,647583,1520051,2715 
0.132,2877834,3197263,1354761,2920625,3699905,642605,1539380,-4295 
0.133,2883847,3266841,1388918,2940993,3826714,644899,1586723,-5741 
0.134,2894650,3295573,1396876,2943590,3747887,650584,1588938,-2054 
0.135,2892233,3240020,1370255,2928726,3629793,653516,1549873,6808 
0.135,2883277,3178414,1344537,2914456,3619636,647466,1519960,2432 
0.136,2878003,3197875,1355214,2920899,3701176,642667,1540039,-4490 
0.420,2884126,3267672,1389379,2941316,3825582,645163,1587218,-5595 
0.421,2894646,3294911,1396613,2943468,3745327,650738,1588546,-1752 
0.422,2891992,3237879,1369398,2928094,3629914,653311,1548834,6736 
0.423,2883506,3177304,1344520,2914556,3619719,647539,1519942,2437 
0.424,2878061,3198003,1355621,2921244,3701248,642658,1540691,-4476 
0.430,2883978,3267648,1389495,2941209,3824603,645014,1587478,-5612 
0.431,2894474,3293254,1396291,2943133,3743843,650654,1588035,-1574 
0.433,2891900,3236063,1368980,2927810,3629351,653224,1548281,6802 
0.434,2883141,3176494,1344171,2914186,3618634,647172,1519631,2124 
0.435,2877943,3198458,1356026,2921303,3701951,642653,1541227,-4387 
0.435,2884131,3268076,1389918,2941479,3825584,645157,1587983,-5526 
0.436,2894708,3292857,1396331,2943422,3742629,650751,1588143,-1709 
0.436,2892073,3235320,1368840,2927845,3627876,653293,1548074,6614 
0.437,2883530,3176834,1344538,2914556,3618099,647467,1520076,2217 
0.437,2878363,3198977,1356711,2921890,3704779,642891,1542234,-4346 
0.438,2884762,3268498,1390430,2941873,3826256,645341,1588583,-5584 
0.439,2895064,3292259,1396116,2943099,3739034,650876,1587677,-1632 
0.439,2892121,3233823,1368532,2927722,3625872,653396,1547756,6827 
0.440,2883265,3175511,1344290,2914578,3618259,647253,1520022,2109 
0.441,2878173,3198818,1356900,2921974,3706488,642601,1542664,-4611 
0.447,2884853,3268704,1390787,2942079,3825543,645381,1588994,-5549 
0.448,2894863,3291515,1395739,2942818,3735091,650843,1587076,-1446 
0.449,2891576,3231781,1367796,2927187,3625114,653146,1546878,6926 
0.450,2882854,3174245,1343916,2914041,3618798,646908,1519503,1833 
0.451,2878163,3199366,1357428,2922234,3708256,642649,1543386,-4520 
0.453,2884914,3269174,1391231,2942365,3825314,645338,1589538,-5616 
0.454,2894828,3290816,1395553,2942648,3732145,650888,1586623,-1288 
0.454,2891621,3230256,1367450,2927128,3625423,653190,1546433,7039 
0.454,2883057,3173954,1344093,2914271,3619022,646944,1519701,1721 
0.455,2878223,3200271,1358052,2922660,3709794,642656,1544203,-4695 
0.455,2885165,3269922,1391724,2942558,3824961,645563,1589976,-5534 
0.456,2895330,3289718,1395654,2942873,3731278,651300,1586515,-971 
0.456,2891958,3228596,1367180,2927033,3623706,653314,1545929,6962 
0.461,2883147,3172948,1344126,2914451,3618400,646916,1519933,1619 
0.465,2878216,3200138,1358390,2922831,3710374,642562,1544784,-4736 
0.466,2885182,3269654,1391886,2942583,3825153,645471,1590260,-5510 
0.467,2895165,3288488,1395245,2942488,3728443,651163,1585967,-967 
0.468,2891472,3226881,1366605,2926590,3622894,653096,1545239,6934 
0.468,2882733,3172243,1343753,2913949,3616851,646612,1519386,1429 
0.469,2877925,3200440,1358754,2922973,3712213,642443,1545333,-4689 
0.470,2885330,3270056,1392289,2943006,3826368,645544,1590749,-5452 
0.471,2895279,3287928,1395009,2942412,3725831,651201,1585531,-967 
0.471,2891472,3225756,1366362,2926530,3621150,653121,1544886,6953 
0.472,2882836,3171942,1344016,2914254,3617860,646790,1519731,1453 
0.473,2878285,3200639,1359420,2923559,3714933,642764,1546170,-4730 
0.479,2885833,3270140,1392783,2943140,3824979,645845,1590996,-5606 
0.481,2895492,3287486,1395109,2942366,3721615,651542,1585299,-779 
0.483,2891407,3224173,1366257,2926557,3620967,653303,1544797,7186 
0.484,2882763,3170856,1344046,2914102,3619427,646758,1519836,1344 
0.486,2878442,3201372,1360058,2923706,3716971,642791,1547073,-4828 
0.487,2885916,3270530,1393082,2942973,3823408,645789,1591286,-5638 
0.488,2895253,3286619,1394782,2941910,3719281,651429,1584793,-529 
0.488,2891214,3222407,1365595,2925932,3621314,653049,1543975,7181 
0.488,2882711,3170029,1343931,2913874,3619023,646441,1519690,1161 
0.489,2878366,3202229,1360601,2923948,3717506,642564,1547869,-4927 
0.489,2885952,3271328,1393495,2943094,3823297,645745,1591844,-5531 
0.490,2895534,3285464,1394616,2941830,3718269,651576,1584476,-296 
0.493,2891292,3220800,1365172,2925734,3620423,653026,1543373,7015 
0.499,2882793,3169821,1344061,2913985,3618195,646479,1519837,828 
0.501,2878573,3203203,1361413,2924421,3719306,642852,1548843,-4849 
0.503,2886584,3271924,1394279,2943694,3825443,646201,1592716,-5364 
0.504,2896058,3284528,1394679,2942092,3716581,651842,1584438,-379 
0.506,2891604,3219434,1364992,2925696,3618232,653281,1543001,6999 
0.506,2882658,3169533,1344197,2914001,3617558,646531,1520067,790 
0.518,2878618,3203638,1362141,2924879,3723353,643043,1549916,-4759 
0.519,2886956,3272521,1394721,2943956,3825786,646385,1593173,-5411 
0.521,2896177,3284023,1394439,2941714,3712822,651991,1583869,-226 
0.523,2891131,3218176,1364434,2925158,3616021,653011,1542344,6958 
0.531,2882284,3169203,1344077,2913815,3618504,646262,1520137,739 
0.532,2878714,3204354,1362757,2925393,3726808,642971,1551023,-4791 
0.533,2887254,3273015,1395074,2944097,3825227,646378,1593596,-5569 
0.534,2896271,3283766,1394236,2941479,3708049,652139,1583390,-36 
0.535,2891055,3216414,1364100,2925062,3616518,653152,1542023,7194 
0.536,2882536,3168406,1344293,2914129,3620932,646414,1520496,695 
0.536,2879030,3205174,1363429,2925679,3728992,643008,1551848,-5074 
0.537,2887684,3273951,1395796,2944370,3823231,646514,1594201,-5622 
0.538,2896353,3283106,1394311,2941739,3706209,652329,1583381,296 
0.539,2891057,3214784,1363850,2925046,3617894,653138,1541757,7162 
0.539,2882635,3168099,1344574,2914286,3621480,646340,1520858,386 
0.546,2879194,3206659,1364316,2926185,3730094,643060,1553041,-5121 
0.548,2887879,3274993,1396475,2944829,3823981,646696,1595073,-5376 
0.549,2896449,3281986,1394131,2941549,3706078,652354,1583036,391 
0.549,2891232,3213571,1363604,2924993,3617064,653134,1541476,7118 
0.550,2882551,3168051,1344664,2914496,3620704,646093,1521227,132 
0.550,2879233,3207822,1365011,2926666,3732232,643141,1554061,-5001 
0.550,2888320,3275694,1396840,2945154,3825501,646920,1595672,-5307 
0.551,2896871,3281108,1393803,2941452,3703423,652538,1582626,390 
0.552,2891237,3212478,1363157,2924783,3615354,653144,1540963,7003 
0.553,2882576,3168495,1344962,2914523,3621489,646191,1521641,178 
0.553,2879524,3209051,1366024,2927316,3737558,643284,1555530,-4939 
0.554,2888826,3276881,1397569,2945655,3826596,647003,1596523,-5494 
0.555,2897334,3280923,1393936,2941512,3700573,652783,1582484,497 
0.555,2891409,3211549,1363086,2924786,3614189,653285,1540815,7110 
0.556,2882675,3168187,1345186,2914715,3623819,646271,1522071,115 
0.556,2880106,3209869,1366991,2927931,3741172,643514,1556781,-5092 
