status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0.035,2876236,3642376,1350191,2925194,4016281,640521,1524633,7043 
0.036,2867040,3588861,1327976,2912645,4014113,633725,1499741,1158 
0.037,2862681,3620307,1344382,2922511,4114227,629850,1527483,-4792 
0.037,2870595,3689717,1377616,2942114,4224228,633082,1572083,-5469 
0.038,2880266,3704599,1378945,2940778,4116721,638651,1564917,-732 
0.039,2875931,3640615,1349739,2924978,4015873,640311,1524231,7107 
0.039,2866997,3588804,1328511,2913886,4015675,633604,1501119,1092 
0.040,2862915,3620484,1345107,2923219,4117308,629856,1528641,-4890 
0.040,2871063,3690331,1378169,2942375,4223438,633230,1572586,-5528 
0.041,2880664,3704059,1379074,2940848,4113745,638951,1564816,-406 
0.044,2875931,3638348,1349198,2924353,4015074,640191,1523283,6987 
0.048,2867166,3587581,1328027,2912565,4014305,633493,1499893,883 
0.049,2863049,3621124,1345665,2923186,4118423,629829,1529324,-4827 
0.050,2871272,3690348,1378475,2942457,4223594,633224,1572981,-5481 
0.051,2880703,3703065,1378727,2940728,4111070,638989,1564373,-281 
0.052,2875883,3636421,1348664,2924078,4014226,640163,1522676,7090 
0.053,2867099,3586536,1327953,2912560,4015014,633417,1499886,795 
0.054,2863171,3621359,1346106,2923473,4119711,629931,1529918,-4915 
0.055,2871409,3690158,1378742,2942524,4221962,633351,1573167,-5412 
0.055,2880561,3701297,1378178,2940151,4108109,638948,1563461,-193 
0.056,2875506,3634205,1348076,2923653,4012810,639975,1521903,6943 
0.056,2866745,3585492,1327964,2912645,4014911,633219,1500063,529 
0.057,2863148,3621958,1346768,2923948,4122216,629943,1530964,-4949 
0.057,2871840,3690421,1379291,2942984,4221921,633536,1573794,-5414 
0.058,2880962,3700213,1378129,2940308,4104743,639237,1563186,-17 
0.059,2875741,3633038,1347863,2923708,4011557,640113,1521726,6915 
0.064,2867008,3584994,1328105,2912658,4014067,633370,1500283,574 
0.066,2863314,3622094,1347316,2924228,4123695,630064,1531752,-4864 
0.067,2871993,3690674,1379651,2943173,4221319,633596,1574336,-5461 
0.068,2881043,3699030,1377881,2940007,4101949,639345,1562823,38 
0.069,2875729,3631291,1347421,2923338,4010024,640181,1521165,6971 
0.070,2866991,3584142,1328067,2912516,4014286,633339,1500291,458 
0.071,2863406,3622384,1347873,2924459,4125284,630039,1532521,-4989 
0.072,2872207,3690913,1379825,2942998,4219162,633663,1574358,-5395 
0.073,2880810,3697421,1377321,2939491,4098321,639252,1562034,236 
0.073,2875472,3628988,1346841,2922890,4009576,639976,1520446,7019 
0.074,2866794,3583564,1328079,2912589,4014704,633141,1500518,290 
0.083,2863501,3622531,1348377,2924801,4127414,630071,1533344,-5022 
0.084,2872639,3690668,1380158,2943257,4218446,633915,1574707,-5357 
0.085,2881177,3696411,1377224,2939600,4095145,639603,1561783,436 
0.085,2875388,3626889,1346416,2922735,4007872,639944,1519988,6912 
0.086,2866758,3582487,1328090,2912443,4014744,633015,1500457,94 
0.087,2863736,3622998,1349101,2925217,4128429,630166,1534171,-5024 
0.087,2872789,3690628,1380618,2943588,4217110,633939,1575110,-5352 
0.088,2881210,3694980,1376902,2939358,4092823,639609,1561101,557 
0.089,2875497,3625139,1346077,2922611,4007473,640003,1519420,6969 
0.089,2866772,3581759,1328106,2912473,4014074,632952,1500496,-31 
0.090,2863598,3623560,1349539,2925409,4129505,630059,1534869,-5065 
0.090,2872896,3690424,1380715,2943436,4216279,633893,1575163,-5276 
0.091,2881203,3693361,1376436,2939106,4089813,639544,1560477,795 
0.099,2875221,3623330,1345478,2922415,4005964,639704,1518905,6923 
0.100,2866471,3580897,1328000,2912389,4013746,632747,1500518,-154 
0.101,2863598,3623829,1350045,2925731,4131864,630076,1535619,-5104 
0.102,2873114,3690266,1380916,2943531,4214939,634011,1575262,-5292 
0.102,2881181,3691869,1376189,2938873,4087191,639673,1559928,861 
0.103,2875158,3621773,1345138,2922001,4004356,639753,1518312,6856 
0.103,2866537,3580378,1328288,2912553,4014341,632871,1500971,-132 
0.104,2863839,3624068,1350833,2926374,4134381,630258,1536811,-5120 
0.104,2873455,3690496,1381306,2943758,4213624,634266,1575748,-5329 
