ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4686613,-4400861,-3843161,-3905986,-4291051,-4692530,-4706967,-1220715 
-4690576,-4407116,-3847450,-3910702,-4297466,-4697359,-4711056,-1229344 
-4695924,-4410651,-3852006,-3914933,-4300677,-4703664,-4716350,-1237588 
-4695646,-4406816,-3850150,-3912366,-4296690,-4705497,-4714111,-1238553 
-4717906,-4404684,-3860110,-3917861,-4292429,-4734129,-4728723,-1266307 
-4713861,-4404447,-3854414,-3913514,-4292997,-4734323,-4720221,-1281945 
-4672275,-4405309,-3835040,-3902466,-4297164,-4683921,-4692154,-1243187 
-4672782,-4408517,-3840739,-3907975,-4300031,-4677793,-4700411,-1230239 
-4687687,-4406140,-3847209,-3911361,-4296369,-4693456,-4711324,-1236254 
-4695044,-4401650,-3847018,-3909477,-4291180,-4704936,-4712246,-1243554 
-4694481,-4402465,-3846457,-3909362,-4292213,-4705886,-4710550,-1247210 
-4696499,-4408322,-3850049,-3913701,-4298318,-4707421,-4713825,-1255430 
-4680714,-4408944,-3842816,-3909762,-4300272,-4687543,-4703391,-1238471 
-4689017,-4406245,-3847531,-3911897,-4296348,-4695917,-4710913,-1238664 
-4693791,-4401373,-3846111,-3908992,-4290995,-4704447,-4710156,-1244040 
-4685111,-4401039,-3840886,-3905589,-4291422,-4695491,-4702561,-1237401 
-4678596,-4405862,-3840917,-3907447,-4296917,-4685412,-4701363,-1229039 
-4689642,-4409712,-3849792,-3914446,-4299974,-4695595,-4712754,-1236086 
-4695267,-4405926,-3850013,-3913267,-4295697,-4703742,-4714115,-1241181 
-4697957,-4400992,-3848100,-3910167,-4290207,-4709871,-4712548,-1246049 
-4701650,-4402157,-3849805,-3911162,-4291144,-4716015,-4713887,-1257432 
-4684709,-4405347,-3842635,-3907819,-4296129,-4695545,-4702321,-1245838 
-4678344,-4407076,-3842120,-3908850,-4298283,-4684454,-4701679,-1233405 
-4684807,-4403764,-3844517,-3909382,-4294062,-4691014,-4706511,-1232123 
-4681809,-4397992,-3839061,-3903894,-4288323,-4689514,-4700697,-1225354 
-4689707,-4399914,-3844009,-3907369,-4289689,-4698584,-4706949,-1232839 
-4692845,-4405571,-3847697,-3911194,-4295676,-4701551,-4710370,-1241329 
-4693321,-4408117,-3849530,-3913311,-4298312,-4701377,-4712127,-1243854 
-4692423,-4403962,-3846964,-3910536,-4293871,-4701642,-4710309,-1241939 
-4697540,-4399750,-3847247,-3909210,-4288832,-4709670,-4711655,-1247672 
-4713804,-4402690,-3855726,-3914681,-4290604,-4730396,-4722056,-1275289 
-4681252,-4403994,-3838852,-3904571,-4294938,-4692700,-4696781,-1251146 
-4675851,-4406398,-3840842,-3907651,-4297358,-4681221,-4699492,-1235980 
-4682495,-4402919,-3842791,-3907651,-4293144,-4688193,-4704414,-1234534 
-4683532,-4397794,-3840072,-3903805,-4287817,-4690974,-4701950,-1230942 
-4676197,-4397431,-3835347,-3900576,-4288169,-4682507,-4695486,-1221291 
-4676784,-4402776,-3839034,-3904779,-4293698,-4680062,-4699247,-1217814 
-4682098,-4405466,-3843669,-3908796,-4296107,-4684581,-4705068,-1218957 
