ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4408286,-4021646,-3494134,-3555256,-3923654,-4509678,-4428429,-1235716 
-4403388,-4018891,-3488682,-3549808,-3922030,-4507630,-4421886,-1233820 
-4387830,-4022762,-3481374,-3545032,-3928344,-4487615,-4411606,-1217474 
-4405767,-4031902,-3497501,-3560072,-3934991,-4503052,-4431179,-1230523 
-4421234,-4030124,-3504807,-3564929,-3931541,-4522400,-4440952,-1247744 
-4396624,-4017287,-3483497,-3545399,-3921347,-4497095,-4414782,-1221954 
-4402202,-4018074,-3488447,-3549886,-3920565,-4503702,-4420967,-1224207 
-4401571,-4023708,-3489799,-3551531,-3927613,-4503827,-4421997,-1228279 
-4406921,-4030317,-3496975,-3558724,-3933633,-4506722,-4429344,-1232952 
-4414005,-4027734,-3499838,-3560342,-3929919,-4515152,-4433012,-1239742 
-4401946,-4017637,-3487484,-3548869,-3920636,-4503502,-4418704,-1226074 
-4401777,-4016602,-3487170,-3548551,-3919227,-4504362,-4418642,-1225162 
-4404307,-4023201,-3491341,-3552891,-3926369,-4507056,-4423126,-1231410 
-4413312,-4030049,-3500014,-3561026,-3932473,-4515383,-4433083,-1242834 
-4416442,-4026550,-3499783,-3560116,-3928422,-4519551,-4433476,-1247712 
-4391491,-4013401,-3478349,-3540435,-3918022,-4493022,-4407824,-1220922 
-4388990,-4012485,-3478385,-3541004,-3916366,-4487802,-4407608,-1210273 
-4402299,-4020477,-3489625,-3550972,-3923472,-4502244,-4421474,-1224775 
-4404866,-4025066,-3492942,-3553969,-3928606,-4503798,-4424641,-1229996 
-4394022,-4019276,-3484401,-3546345,-3923556,-4489726,-4414016,-1214299 
-4406479,-4013674,-3489107,-3549401,-3915280,-4505214,-4421801,-1222248 
-4401506,-4010516,-3483755,-3544209,-3912746,-4502158,-4415099,-1219177 
-4431588,-4021956,-3506686,-3563850,-3920819,-4538681,-4442706,-1259014 
-4398990,-4018822,-3484377,-3544422,-3923308,-4502802,-4413254,-1236814 
-4392290,-4014755,-3481115,-3542080,-3918692,-4490957,-4408963,-1222778 
-4384004,-4005298,-3472387,-3533852,-3909254,-4479821,-4400049,-1205069 
-4398469,-4006244,-3481352,-3541066,-3908142,-4497167,-4412452,-1217112 
-4393345,-4010542,-3479212,-3539639,-3914264,-4491940,-4408761,-1216472 
-4394100,-4016414,-3483286,-3544226,-3920248,-4489480,-4412539,-1215916 
-4404752,-4015787,-3489110,-3548811,-3917920,-4501649,-4421061,-1225134 
-4396007,-4007304,-3479577,-3539811,-3909965,-4494191,-4410248,-1215059 
-4404416,-4008503,-3485322,-3544742,-3909837,-4506347,-4417241,-1225646 
-4399406,-4014102,-3484089,-3544559,-3917094,-4501647,-4414581,-1227228 
-4395582,-4019428,-3484822,-3546485,-3923470,-4494473,-4414275,-1224536 
-4406803,-4019716,-3492571,-3553120,-3921509,-4505586,-4424673,-1232386 
-4404184,-4011204,-3485827,-3545643,-3913101,-4506088,-4418059,-1231094 
-4401944,-4009313,-3483636,-3543471,-3910998,-4504896,-4415105,-1230272 
-4393430,-4013145,-3480187,-3541061,-3916766,-4494394,-4409530,-1225413 
-4372274,-4014022,-3468572,-3532221,-3920995,-4465721,-4393971,-1200171 
-4361398,-4010773,-3463507,-3529178,-3917719,-4445794,-4388379,-1169569 
-4394507,-4010447,-3482999,-3544947,-3912342,-4483364,-4415806,-1191108 
-4396914,-4008994,-3481058,-3542222,-3911559,-4491621,-4414172,-1196950 
-4400969,-4017252,-3487139,-3548586,-3919912,-4497319,-4419837,-1204944 
-4411006,-4025257,-3495892,-3556941,-3927601,-4510001,-4430156,-1222039 
-4423436,-4026492,-3504108,-3564373,-3926644,-4526151,-4440686,-1237741 
-4403909,-4014654,-3485339,-3546644,-3917596,-4509844,-4418307,-1224996 
-4389365,-4011696,-3477126,-3540464,-3915359,-4491411,-4407231,-1205969 
-4403547,-4020119,-3489606,-3551744,-3922790,-4505745,-4422144,-1221887 
-4392412,-4022807,-3484056,-3547822,-3927729,-4490230,-4413822,-1211097 
