ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-3933711,-4111902,-4347318,-4055346,-4170796,-4124573,-4233254,-1231372 
-3950260,-4128363,-4363807,-4071051,-4187355,-4141214,-4249909,-1230119 
-3957514,-4135749,-4371217,-4078769,-4194736,-4148551,-4257220,-1233788 
-3945384,-4123902,-4359472,-4068286,-4182808,-4136405,-4244935,-1237669 
-3928621,-4107231,-4342708,-4051182,-4166284,-4119802,-4228366,-1227126 
-3931111,-4109636,-4344995,-4052391,-4168773,-4122523,-4231152,-1213339 
-3947064,-4125431,-4360879,-4067076,-4184662,-4138775,-4247339,-1197287 
-3954741,-4133405,-4369054,-4076459,-4192538,-4146522,-4255093,-1197324 
-3942974,-4121987,-4357679,-4066534,-4181139,-4134804,-4243352,-1206428 
-3926112,-4105035,-4340682,-4049008,-4164447,-4118322,-4226916,-1186161 
-3930615,-4109609,-4345394,-4053809,-4168974,-4122793,-4231531,-1185374 
-3949329,-4128577,-4364386,-4072841,-4187816,-4141634,-4250207,-1208676 
-3957616,-4137211,-4373092,-4082699,-4196222,-4150012,-4258498,-1234836 
-3948552,-4128730,-4364573,-4076710,-4187289,-4140606,-4249157,-1293259 
-3932191,-4112194,-4347855,-4058903,-4170925,-4124440,-4232921,-1311408 
-3934057,-4113809,-4349321,-4058713,-4172706,-4126522,-4235095,-1306081 
-3948311,-4127823,-4363329,-4070831,-4186906,-4141216,-4249707,-1280506 
-3955552,-4135165,-4370887,-4079732,-4194109,-4148352,-4256787,-1279033 
-3942009,-4121547,-4357320,-4066595,-4180508,-4134751,-4243154,-1272178 
-3927041,-4106556,-4342366,-4052280,-4165588,-4119647,-4228017,-1260466 
-3931409,-4110779,-4346474,-4055670,-4169949,-4123997,-4232409,-1259730 
-3948868,-4128033,-4363659,-4072217,-4187153,-4141274,-4249806,-1264625 
-3955586,-4134756,-4370439,-4079584,-4193806,-4147872,-4256414,-1271341 
-3942927,-4122106,-4357841,-4067934,-4181233,-4134981,-4243627,-1272461 
-3928537,-4107624,-4343344,-4053461,-4166833,-4120632,-4229062,-1268742 
-3932756,-4111611,-4347246,-4056440,-4170906,-4124896,-4233222,-1268304 
-3949565,-4128269,-4363937,-4072237,-4187587,-4141788,-4250089,-1265306 
-3957842,-4136720,-4372434,-4082331,-4195761,-4149566,-4258074,-1285379 
-3945008,-4123941,-4359605,-4070306,-4182907,-4136537,-4244963,-1298257 
-3931843,-4110902,-4346513,-4057950,-4169858,-4123297,-4231626,-1316770 
-3934834,-4113648,-4349025,-4058198,-4172850,-4126733,-4234948,-1317237 
-3948752,-4127225,-4362566,-4069624,-4186626,-4141161,-4249291,-1283653 
-3951394,-4129482,-4364944,-4071061,-4189196,-4143933,-4252124,-1234457 
-3937199,-4115187,-4350906,-4058666,-4174911,-4129429,-4237602,-1187109 
-3925496,-4103702,-4339491,-4048952,-4163289,-4117395,-4225639,-1186809 
-3931685,-4109930,-4345704,-4054587,-4169481,-4123625,-4231869,-1195072 
-3949621,-4127804,-4363556,-4071649,-4187276,-4141563,-4249847,-1204457 
-3955761,-4133966,-4369698,-4078204,-4193377,-4147586,-4255912,-1210343 
-3942557,-4120797,-4356447,-4066001,-4180120,-4134302,-4242393,-1211082 
-3928199,-4106406,-4341999,-4051481,-4165701,-4119649,-4227956,-1206566 
-3933309,-4111391,-4346904,-4055351,-4170801,-4124961,-4233191,-1203816 
-3951550,-4129726,-4365205,-4073377,-4188994,-4143222,-4251436,-1216444 
-3956557,-4134621,-4370179,-4078239,-4193983,-4148040,-4256359,-1217134 
-3943517,-4121613,-4357310,-4066744,-4180929,-4134887,-4242984,-1219436 
-3929330,-4107414,-4343006,-4052474,-4166836,-4120796,-4228794,-1220610 
-3933959,-4111907,-4347431,-4055640,-4171434,-4125584,-4233670,-1213657 
-3952071,-4129944,-4365524,-4073507,-4189458,-4143564,-4251694,-1221254 
-3958410,-4136472,-4372026,-4080761,-4195872,-4149745,-4257870,-1242472 
-3942929,-4120940,-4356474,-4065189,-4180536,-4134332,-4242515,-1231849 
-3928322,-4106147,-4341729,-4050624,-4165881,-4119611,-4227891,-1217649 
-3933378,-4110958,-4346694,-4054759,-4170722,-4124643,-4232924,-1208417 
-3951402,-4128875,-4364576,-4072204,-4188614,-4142618,-4250839,-1218823 
-3954465,-4131709,-4367503,-4074594,-4191646,-4145765,-4253916,-1198433 
-3941200,-4118581,-4354577,-4063424,-4178523,-4132331,-4240454,-1191624 
-3931839,-4109596,-4345742,-4056778,-4169243,-4122523,-4230557,-1228874 
-3939361,-4117212,-4353155,-4063032,-4176773,-4129931,-4238091,-1279682 
-3954881,-4132684,-4368488,-4076627,-4192250,-4145951,-4253935,-1287336 
-3956200,-4133714,-4369576,-4076283,-4193501,-4147634,-4255556,-1266546 
-3938797,-4116032,-4352026,-4058989,-4176026,-4130274,-4238216,-1210724 
-3927733,-4105135,-4341219,-4050168,-4164957,-4118766,-4226857,-1209986 
-3937379,-4115021,-4351035,-4060731,-4174595,-4128124,-4236275,-1254490 
-3951209,-4128452,-4364171,-4070432,-4188319,-4142513,-4250619,-1245404 
-3951515,-4128554,-4364446,-4070124,-4188682,-4143107,-4251373,-1188656 
-3938946,-4116165,-4352433,-4060782,-4176248,-4129919,-4238476,-1179469 
-3927644,-4104956,-4341315,-4050612,-4164964,-4118704,-4226821,-1193921 
-3934314,-4111512,-4347718,-4055946,-4171426,-4125528,-4233463,-1206967 
-3949391,-4126281,-4362508,-4068859,-4186328,-4140731,-4248898,-1188829 
-3953944,-4130881,-4367226,-4074536,-4190862,-4145002,-4253260,-1178951 
-3941438,-4118743,-4355017,-4064471,-4178569,-4132371,-4240401,-1192730 
-3929565,-4106951,-4343128,-4052951,-4166826,-4120394,-4228483,-1213963 
-3934906,-4111977,-4348102,-4056200,-4171948,-4125802,-4233999,-1211038 
-3951336,-4128156,-4364382,-4071426,-4188194,-4142351,-4250604,-1206532 
-3954766,-4131614,-4367869,-4075397,-4191646,-4145687,-4254036,-1196524 
-3941712,-4118882,-4355147,-4064663,-4178791,-4132361,-4240791,-1204571 
-3928491,-4105714,-4341901,-4050712,-4165732,-4119470,-4227677,-1207929 
-3933320,-4110257,-4346405,-4053745,-4170377,-4124349,-4232622,-1185781 
-3951876,-4128881,-4364996,-4072628,-4188806,-4142617,-4251079,-1194562 
-3956291,-4133334,-4369408,-4077753,-4193161,-4146932,-4255393,-1206780 
-3942055,-4119208,-4355235,-4064647,-4178994,-4132606,-4241006,-1211044 
-3929999,-4107320,-4343291,-4053243,-4167122,-4120692,-4228911,-1219910 
-3939092,-4116517,-4352361,-4062275,-4176134,-4129834,-4237800,-1255048 
-3953452,-4130552,-4366309,-4073299,-4190399,-4144504,-4252520,-1251436 
-3952339,-4129083,-4364987,-4071009,-4189177,-4143621,-4251731,-1195461 
-3939041,-4115964,-4352121,-4060574,-4175886,-4129908,-4238138,-1183670 
-3927379,-4104404,-4340572,-4049399,-4164400,-4118285,-4226476,-1187967 
-3934766,-4111747,-4347838,-4055884,-4171814,-4125789,-4233886,-1189621 
-3953281,-4130272,-4366301,-4074188,-4190222,-4144179,-4252370,-1206030 
-3958285,-4135465,-4371376,-4080564,-4195056,-4148686,-4256972,-1231471 
-3943216,-4120487,-4356338,-4065719,-4180211,-4133520,-4241911,-1243171 
-3928324,-4105396,-4341262,-4049599,-4165492,-4119099,-4227406,-1217395 
