ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-3924539,-4121769,-4333841,-4012747,-4199670,-4108572,-4232031,-1186286 
-3912059,-4109317,-4321302,-4000398,-4187290,-4096157,-4219573,-1190863 
-3921149,-4118402,-4330361,-4009596,-4196362,-4105077,-4228616,-1210837 
-3937621,-4134722,-4346559,-4024463,-4212729,-4121749,-4245175,-1224514 
-3938895,-4135872,-4347880,-4025936,-4213955,-4123009,-4246511,-1206976 
-3924624,-4121624,-4333841,-4013009,-4199718,-4108595,-4232028,-1205376 
-3911888,-4108855,-4321035,-4000037,-4186964,-4096043,-4219339,-1197864 
-3919210,-4116191,-4328313,-4006557,-4194443,-4103623,-4226902,-1188704 
-3937807,-4134798,-4347089,-4025306,-4212936,-4121994,-4245324,-1202556 
-3940204,-4137202,-4349604,-4027917,-4215211,-4124262,-4247736,-1211079 
-3923007,-4119954,-4332382,-4010716,-4198126,-4107060,-4230685,-1189111 
-3910760,-4107702,-4320191,-3998858,-4185896,-4094676,-4218407,-1173352 
-3919297,-4116165,-4328541,-4006619,-4194303,-4103121,-4226978,-1175341 
-3936374,-4133216,-4345572,-4022922,-4211323,-4120667,-4244140,-1174869 
-3938616,-4135497,-4348088,-4026007,-4213542,-4122765,-4246270,-1170596 
-3925546,-4122546,-4335257,-4014876,-4200377,-4109191,-4232832,-1194640 
-3912716,-4109736,-4322192,-4001380,-4187622,-4096456,-4220205,-1198916 
-3919206,-4116171,-4328531,-4006273,-4194186,-4103174,-4226968,-1189877 
-3936856,-4133749,-4346182,-4023864,-4211642,-4120709,-4244363,-1192828 
-3941699,-4138678,-4351275,-4030197,-4216297,-4125192,-4248926,-1222307 
-3928181,-4125236,-4337837,-4017645,-4202666,-4111582,-4235157,-1256760 
-3911200,-4107969,-4320137,-3997644,-4185804,-4095084,-4218731,-1215249 
-3918625,-4115217,-4327414,-4004463,-4193164,-4102552,-4226221,-1186300 
-3936633,-4133195,-4345437,-4022377,-4211097,-4120539,-4244206,-1188016 
-3939449,-4136071,-4348387,-4026052,-4213824,-4123125,-4246895,-1199313 
-3923469,-4120111,-4332396,-4010574,-4197880,-4107121,-4231018,-1194195 
-3911244,-4107774,-4319997,-3998021,-4185672,-4094811,-4218716,-1180367 
-3919666,-4116123,-4328118,-4005351,-4193999,-4103273,-4227252,-1178424 
-3935974,-4132296,-4344232,-4020758,-4210131,-4119912,-4243690,-1168815 
-3937780,-4134139,-4346205,-4023405,-4211927,-4121603,-4245494,-1165189 
-3922437,-4118842,-4331018,-4009131,-4196714,-4106184,-4230092,-1162837 
-3910755,-4107155,-4319233,-3997501,-4185162,-4094329,-4218492,-1158966 
-3919796,-4116198,-4328112,-4005842,-4194152,-4103427,-4227612,-1163211 
-3936569,-4132877,-4344791,-4021800,-4210734,-4120624,-4244319,-1169076 
-3937742,-4134129,-4346163,-4023822,-4211924,-4121696,-4245514,-1169552 
-3921791,-4118230,-4330263,-4008586,-4196069,-4105684,-4229549,-1164851 
-3910111,-4106558,-4318469,-3996836,-4184398,-4093924,-4217933,-1153575 
-3919101,-4115431,-4327184,-4004861,-4193339,-4103222,-4226982,-1153491 
-3937117,-4133429,-4345229,-4023112,-4211137,-4121054,-4244887,-1162611 
-3943044,-4139671,-4351713,-4031696,-4217017,-4126319,-4250214,-1226461 
-3925551,-4122179,-4334011,-4013188,-4199669,-4109151,-4232893,-1238749 
-3912244,-4108682,-4320419,-3998872,-4186404,-4096158,-4219826,-1217159 
-3922325,-4118796,-4330593,-4009008,-4196420,-4105969,-4229965,-1226962 
-3939116,-4135626,-4347259,-4024801,-4213218,-4122939,-4246951,-1243208 
-3937188,-4133542,-4345162,-4022185,-4211259,-4121561,-4245176,-1212599 
-3921574,-4117963,-4329832,-4008228,-4195746,-4105757,-4229434,-1200742 
-3910977,-4107367,-4319277,-3997880,-4185247,-4095143,-4218847,-1198368 
-3919538,-4115839,-4327487,-4004859,-4193709,-4103914,-4227657,-1190384 
-3936129,-4132433,-4344094,-4021215,-4210171,-4120330,-4244382,-1182091 
-3939174,-4135583,-4347453,-4026093,-4213101,-4123069,-4247088,-1204862 
-3922270,-4118662,-4330436,-4009011,-4196276,-4106567,-4230252,-1202771 
-3911044,-4107346,-4319079,-3997776,-4185039,-4095306,-4219122,-1189036 
-3920822,-4117082,-4328623,-4006746,-4194777,-4105024,-4228937,-1192402 
-3937480,-4133589,-4345080,-4022654,-4211272,-4121559,-4245591,-1191732 
-3937584,-4133787,-4345289,-4023367,-4211387,-4121894,-4245741,-1187883 
-3922261,-4118504,-4330042,-4009557,-4196024,-4106400,-4230257,-1186496 
-3913445,-4109729,-4321233,-4001007,-4187216,-4097397,-4221202,-1206481 
-3921948,-4118071,-4329226,-4007439,-4195713,-4106082,-4229979,-1201530 
-3938789,-4134816,-4345973,-4023845,-4212361,-4122687,-4246872,-1197979 
-3939511,-4135471,-4346712,-4025145,-4212937,-4123564,-4247421,-1199753 
-3927143,-4123347,-4334876,-4015930,-4200513,-4110651,-4234527,-1233902 
-3920206,-4116571,-4327943,-4009348,-4193604,-4103478,-4227406,-1302420 
-3924471,-4120345,-4331092,-4008603,-4197791,-4108282,-4232281,-1276809 
-3937915,-4133596,-4344576,-4021384,-4211165,-4121934,-4245910,-1228566 
-3940741,-4136629,-4348007,-4026600,-4213979,-4124387,-4248341,-1252742 
-3921942,-4117728,-4328947,-4007032,-4195180,-4105681,-4229634,-1224272 
-3913697,-4109597,-4320897,-4000078,-4186929,-4097215,-4221190,-1232626 
-3921959,-4117652,-4328758,-4005863,-4195239,-4105677,-4229886,-1222191 
-3935542,-4131007,-4342046,-4017297,-4208745,-4119336,-4243754,-1181239 
-3934217,-4129538,-4340792,-4016844,-4207263,-4118362,-4242336,-1141496 
-3919494,-4114825,-4326246,-4004114,-4192465,-4103234,-4227497,-1133775 
-3914274,-4109940,-4321547,-4001464,-4187271,-4097591,-4221762,-1172785 
-3926094,-4121836,-4333159,-4011734,-4199043,-4109240,-4233436,-1221990 
-3939912,-4135471,-4346540,-4023591,-4212776,-4123370,-4247362,-1209339 
-3941004,-4136643,-4347982,-4026542,-4213749,-4124268,-4248145,-1227691 
-3923809,-4119286,-4330606,-4009259,-4196506,-4107162,-4231195,-1228082 
-3913761,-4109203,-4320450,-3999061,-4186533,-4097063,-4221165,-1224552 
-3922864,-4118344,-4329481,-4007220,-4195716,-4106400,-4230366,-1214074 
-3938769,-4134145,-4345285,-4022419,-4211574,-4122375,-4246246,-1212299 
-3937398,-4132839,-4344142,-4022036,-4210273,-4121019,-4245019,-1202304 
-3920410,-4115885,-4327277,-4005989,-4193426,-4103934,-4228085,-1191921 
-3913430,-4108989,-4320541,-4000532,-4186438,-4096827,-4220777,-1213875 
-3925845,-4121444,-4332897,-4012334,-4198794,-4109332,-4233031,-1261504 
-3939152,-4134636,-4345807,-4023362,-4212151,-4122992,-4246626,-1256229 
-3938279,-4133784,-4345098,-4023762,-4211232,-4121730,-4245569,-1258849 
-3918629,-4113901,-4325146,-4003106,-4191662,-4102669,-4226064,-1230290 
-3909361,-4104686,-4316112,-3994609,-4182492,-4093429,-4216943,-1210311 
-3919942,-4115181,-4326508,-4003911,-4193100,-4104286,-4227814,-1205364 
-3936876,-4132092,-4343537,-4020884,-4209975,-4121254,-4244807,-1207421 
-3935406,-4130551,-4342125,-4020011,-4208515,-4119751,-4243117,-1204116 
-3919562,-4114792,-4326447,-4005384,-4192802,-4103806,-4227285,-1206680 
-3911301,-4106509,-4318131,-3997306,-4184557,-4095806,-4219224,-1209772 
-3921471,-4116524,-4327867,-4005544,-4194789,-4106246,-4229739,-1209026 
-3936807,-4131726,-4343122,-4020550,-4210004,-4121601,-4245053,-1189087 
-3938652,-4133711,-4345322,-4024631,-4211711,-4122933,-4246422,-1216754 
-3923069,-4118274,-4329719,-4009853,-4196229,-4107345,-4230852,-1230054 
-3916745,-4112160,-4323563,-4004650,-4189967,-4101027,-4224399,-1264606 
-3927472,-4122757,-4333939,-4013987,-4200681,-4111938,-4235211,-1287901 
-3941077,-4136149,-4347165,-4026007,-4214185,-4125832,-4249086,-1279172 
-3936134,-4130970,-4341974,-4020677,-4209232,-4121013,-4244506,-1242604 
-3918589,-4113374,-4324636,-4004782,-4191773,-4103462,-4226634,-1208577 
-3908768,-4103357,-4314507,-3993980,-4182004,-4093877,-4216855,-1182551 
-3917977,-4112355,-4323475,-4001993,-4191228,-4103204,-4226457,-1132162 
-3935138,-4129497,-4340796,-4019753,-4208189,-4120474,-4243399,-1123832 
-3933753,-4128125,-4339528,-4019413,-4206808,-4118829,-4241867,-1116406 
-3917507,-4111894,-4323327,-4004114,-4190619,-4102406,-4225542,-1104545 
-3910946,-4105359,-4316757,-3997987,-4183955,-4095938,-4218842,-1110834 
-3924499,-4118844,-4330076,-4010972,-4197338,-4109296,-4232293,-1134507 
-3944065,-4138632,-4349957,-4032144,-4216714,-4128347,-4251453,-1182177 
-3944441,-4139191,-4350400,-4032783,-4217087,-4128592,-4251609,-1254688 
-3921584,-4115893,-4326736,-4007454,-4194151,-4106113,-4229214,-1202386 
-3915368,-4109738,-4320674,-4002430,-4187877,-4099681,-4222653,-1214670 
-3927606,-4121893,-4332757,-4013991,-4199962,-4111879,-4234901,-1224872 
-3942596,-4136776,-4347441,-4027285,-4214876,-4127040,-4250052,-1237239 
-3935594,-4129412,-4340089,-4019216,-4207757,-4120347,-4243227,-1176792 
-3923224,-4117319,-4328419,-4010509,-4195260,-4107241,-4230237,-1201161 
-3914967,-4109025,-4319862,-4001081,-4187087,-4099065,-4222140,-1206476 
-3927718,-4121778,-4332512,-4013164,-4199820,-4111691,-4234990,-1220558 
-3943168,-4137201,-4347975,-4028011,-4215259,-4127314,-4250494,-1230201 
-3935769,-4129471,-4340161,-4019067,-4207877,-4120332,-4243411,-1180092 
-3925957,-4120041,-4331467,-4014839,-4197827,-4109630,-4232720,-1224111 
-3918927,-4113106,-4324011,-4005782,-4190926,-4102827,-4225782,-1273927 
-3921887,-4115410,-4325689,-4002834,-4193857,-4106694,-4229699,-1185652 
-3937691,-4131135,-4341862,-4020359,-4209446,-4122089,-4245354,-1142249 
-3938999,-4132770,-4343902,-4024709,-4210771,-4122971,-4246115,-1174451 
-3925972,-4119997,-4331356,-4013839,-4197748,-4109632,-4232675,-1223531 
-3918974,-4113074,-4324190,-4006006,-4190912,-4102798,-4225822,-1258362 
-3927982,-4121797,-4332488,-4011812,-4199910,-4112075,-4235262,-1244408 
-3941612,-4135111,-4345881,-4024482,-4213292,-4125859,-4248887,-1218384 
-3938763,-4132304,-4343298,-4023071,-4210383,-4122811,-4245831,-1211167 
-3921067,-4114619,-4325622,-4005739,-4192736,-4105056,-4228140,-1198888 
-3914124,-4107664,-4318721,-3999057,-4185754,-4098027,-4221193,-1191241 
-3927591,-4121100,-4332121,-4011641,-4199145,-4111621,-4234606,-1206593 
-3942459,-4135881,-4346921,-4026086,-4213914,-4126544,-4249513,-1202081 
-3941496,-4135029,-4346237,-4027119,-4212811,-4125137,-4248197,-1229017 
-3925482,-4119146,-4330282,-4011881,-4196876,-4108941,-4232099,-1254357 
-3915072,-4108504,-4319250,-3999066,-4186562,-4098982,-4222095,-1230892 
-3928542,-4121951,-4332787,-4012794,-4199878,-4112331,-4235473,-1227382 
-3944836,-4138244,-4349010,-4028596,-4216110,-4128567,-4251741,-1251852 
-3938103,-4131388,-4342160,-4021334,-4209437,-4121877,-4245196,-1219522 
-3921112,-4114413,-4325386,-4005615,-4192519,-4104921,-4228139,-1204217 
-3915854,-4109256,-4320232,-4001032,-4187162,-4099662,-4222726,-1213269 
-3929727,-4123164,-4333831,-4013621,-4200891,-4113461,-4236530,-1234591 
-3941206,-4134441,-4344920,-4022878,-4212396,-4125061,-4248431,-1200829 
-3937284,-4130571,-4341372,-4020570,-4208496,-4121106,-4244440,-1182831 
-3920533,-4113847,-4324786,-4004819,-4191823,-4104788,-4227606,-1175069 
-3913912,-4107197,-4318057,-3997974,-4185228,-4098134,-4221117,-1169326 
-3927261,-4120494,-4331186,-4010351,-4198543,-4111566,-4234636,-1169933 
-3942775,-4136086,-4346719,-4025787,-4214017,-4126952,-4249861,-1174369 
-3939359,-4132772,-4343557,-4023727,-4210607,-4123327,-4246271,-1182392 
-3922411,-4115832,-4326633,-4007336,-4193696,-4106405,-4229376,-1186704 
-3915046,-4108427,-4319103,-3999242,-4186387,-4099202,-4222122,-1176877 
-3928406,-4121708,-4332236,-4011782,-4199698,-4112685,-4235567,-1176622 
-3943771,-4137005,-4347597,-4027018,-4214942,-4127930,-4250812,-1180902 
-3939234,-4132464,-4343130,-4023071,-4210439,-4123242,-4246131,-1179756 
-3922051,-4115421,-4326134,-4007052,-4193392,-4106109,-4228941,-1175936 
-3916083,-4109431,-4319968,-4000742,-4187366,-4100129,-4222959,-1181671 
-3929674,-4122937,-4333327,-4013322,-4200850,-4113836,-4236668,-1186803 
-3944782,-4138015,-4348397,-4027962,-4215850,-4128956,-4251806,-1192562 
-3939936,-4133130,-4343693,-4023826,-4210918,-4123785,-4246846,-1189838 
-3922651,-4115888,-4326552,-4007530,-4193744,-4106635,-4229372,-1189375 
-3916269,-4109591,-4320114,-4000935,-4187507,-4100467,-4222969,-1188620 
-3930807,-4124165,-4334655,-4014919,-4202035,-4114848,-4237598,-1205326 
-3945013,-4138150,-4348639,-4028177,-4216072,-4129209,-4251817,-1205707 
-3939431,-4132554,-4343163,-4023266,-4210475,-4123532,-4246154,-1195847 
-3922146,-4115353,-4326011,-4006968,-4193206,-4106127,-4228783,-1194520 
-3917300,-4110510,-4321115,-4002266,-4188271,-4101134,-4223902,-1204364 
-3931199,-4124351,-4334764,-4014659,-4202092,-4115152,-4237917,-1216100 
-3943955,-4136949,-4347314,-4026179,-4214738,-4128073,-4250719,-1197997 
-3940266,-4133282,-4343964,-4024533,-4210954,-4124007,-4246726,-1201508 
-3923468,-4116511,-4327188,-4008372,-4194191,-4107042,-4229785,-1216232 
