ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
-4067196,-4245951,-4487861,-4120231,-4302502,-4265307,-4375344,-1248611 
-4067189,-4246309,-4488452,-4122150,-4302699,-4265117,-4374973,-1255899 
-4052473,-4231890,-4474241,-4109822,-4288290,-4250042,-4359882,-1279209 
-4043314,-4222597,-4464864,-4099590,-4279057,-4240819,-4350604,-1297081 
-4052387,-4231427,-4473294,-4105856,-4287812,-4250100,-4359979,-1290675 
-4069194,-4248298,-4490079,-4122761,-4304639,-4266973,-4376914,-1299286 
-4066334,-4245391,-4487156,-4119782,-4301722,-4264194,-4374099,-1285031 
-4048466,-4227521,-4469461,-4102690,-4283953,-4246237,-4356126,-1265961 
-4037441,-4216341,-4458230,-4090194,-4272882,-4235451,-4345360,-1238407 
-4046687,-4225417,-4467307,-4097976,-4281982,-4245038,-4354837,-1202221 
-4065554,-4244567,-4486683,-4118696,-4300947,-4263777,-4373595,-1213355 
-4065572,-4244758,-4486932,-4119857,-4300959,-4263484,-4373476,-1225239 
-4049206,-4228577,-4470850,-4105183,-4284908,-4246927,-4356610,-1229423 
-4042509,-4222101,-4464403,-4099434,-4278512,-4240162,-4349657,-1256223 
-4052745,-4231993,-4473919,-4106307,-4288496,-4250680,-4360253,-1259534 
-4068381,-4247509,-4489574,-4121639,-4303987,-4266400,-4376052,-1258193 
-4067259,-4246570,-4488861,-4122561,-4302987,-4265030,-4374822,-1268331 
-4049131,-4228397,-4470579,-4104430,-4284884,-4246804,-4356570,-1260148 
-4040857,-4220156,-4462432,-4096188,-4276682,-4238582,-4348206,-1258029 
-4052041,-4231230,-4473299,-4105449,-4287777,-4250107,-4359681,-1256949 
-4068573,-4247815,-4489910,-4122207,-4304239,-4266597,-4376307,-1264497 
-4065441,-4244724,-4486894,-4119696,-4301194,-4263411,-4373082,-1258887 
-4048250,-4227707,-4470018,-4103971,-4284253,-4246152,-4355694,-1254132 
-4040369,-4219944,-4462178,-4095984,-4276414,-4238361,-4347911,-1253146 
-4054995,-4234629,-4476882,-4110598,-4290925,-4252802,-4362367,-1279507 
-4071818,-4251331,-4493561,-4126591,-4307759,-4269707,-4379283,-1304954 
-4068356,-4247937,-4490156,-4123676,-4304118,-4265982,-4375644,-1310448 
-4050221,-4229848,-4472064,-4106227,-4286121,-4247828,-4357528,-1307461 
-4042969,-4222491,-4464664,-4098406,-4278716,-4240355,-4349991,-1310429 
-4054456,-4234029,-4476081,-4108232,-4290357,-4252326,-4361807,-1309573 
-4075057,-4255204,-4497525,-4132809,-4311058,-4272342,-4381888,-1359160 
-4069834,-4249951,-4491702,-4123974,-4305756,-4267316,-4376854,-1385004 
-4046099,-4225402,-4467221,-4098795,-4281797,-4244004,-4353632,-1310696 
-4039579,-4218916,-4460777,-4093219,-4275307,-4237362,-4347011,-1295316 
-4052882,-4232291,-4474093,-4105736,-4288513,-4250754,-4360462,-1291706 
-4070560,-4250241,-4492274,-4124746,-4306136,-4268228,-4377893,-1312772 
-4065724,-4245537,-4487171,-4119984,-4301433,-4263538,-4372996,-1315632 
-4049007,-4229037,-4470831,-4105375,-4285079,-4246867,-4356171,-1318163 
-4042681,-4222559,-4464271,-4097949,-4278696,-4240320,-4349777,-1328744 
-4053756,-4233572,-4475324,-4106526,-4289637,-4251733,-4361289,-1315334 
-4068564,-4248363,-4489856,-4121333,-4304287,-4266614,-4376244,-1309636 
-4065078,-4244840,-4486399,-4119644,-4300857,-4263028,-4372841,-1312729 
-4047036,-4226880,-4468692,-4102132,-4282912,-4244836,-4354429,-1305295 
-4041592,-4221648,-4463348,-4097573,-4277789,-4239402,-4348682,-1313246 
-4054258,-4234264,-4475632,-4107832,-4290262,-4252282,-4361826,-1315590 
-4069360,-4249253,-4490593,-4122756,-4305154,-4267311,-4376935,-1317580 
-4068950,-4249439,-4491374,-4128074,-4305107,-4266321,-4375898,-1352351 
-4068636,-4250754,-4493349,-4138548,-4305713,-4264235,-4374075,-1554762 
-4049028,-4229880,-4470388,-4102869,-4285306,-4246496,-4356356,-1536048 
-4056377,-4236706,-4477387,-4108887,-4292202,-4254314,-4363836,-1466635 
-4059308,-4238813,-4478972,-4104089,-4294709,-4258577,-4367849,-1350518 
-4055499,-4235067,-4476397,-4107282,-4290916,-4254078,-4363628,-1277159 
-4052938,-4234071,-4476415,-4115780,-4289314,-4249819,-4359402,-1393556 
-4044636,-4225591,-4466827,-4100683,-4280966,-4242207,-4351532,-1426101 
-4059794,-4240594,-4482218,-4117078,-4295932,-4257270,-4366642,-1444566 
-4069392,-4249762,-4490812,-4121016,-4305126,-4267451,-4376814,-1429346 
-4066074,-4246641,-4488359,-4122489,-4301851,-4263534,-4373286,-1425755 
-4049784,-4230515,-4472195,-4106801,-4285914,-4247178,-4356923,-1446238 
-4039359,-4219689,-4460857,-4091226,-4275436,-4237581,-4346997,-1414176 
-4050889,-4230964,-4472467,-4102994,-4286573,-4249352,-4358926,-1352279 
-4071784,-4252474,-4494297,-4127199,-4307822,-4269632,-4379114,-1419382 
-4055775,-4235504,-4476826,-4104664,-4291177,-4254460,-4363882,-1328419 
-4039076,-4218656,-4460690,-4091742,-4274594,-4237561,-4347484,-1282314 
-4035867,-4215596,-4457767,-4089001,-4271666,-4234396,-4344048,-1271435 
-4051660,-4231526,-4473861,-4104886,-4287609,-4250208,-4359452,-1272456 
-4066614,-4246542,-4489017,-4120184,-4302636,-4265077,-4374186,-1282574 
-4059569,-4239495,-4482124,-4113585,-4295609,-4258087,-4367358,-1270875 
-4042770,-4222608,-4465405,-4098129,-4278859,-4241140,-4350761,-1262110 
-4040730,-4220866,-4463932,-4097569,-4277124,-4239122,-4348479,-1275222 
-4060769,-4241337,-4484451,-4118921,-4297372,-4258909,-4367962,-1346977 
-4070061,-4250120,-4492749,-4124134,-4306276,-4268765,-4377857,-1333551 
-4063046,-4243174,-4485899,-4118622,-4299276,-4261622,-4370742,-1329379 
-4045494,-4225644,-4468318,-4102108,-4281739,-4243950,-4353152,-1322567 
-4040620,-4220685,-4463189,-4095988,-4276924,-4239376,-4348443,-1311896 
-4055635,-4235658,-4478064,-4110008,-4291771,-4254490,-4363343,-1308106 
-4069690,-4249840,-4492186,-4124279,-4305658,-4268376,-4377302,-1313227 
-4063196,-4243296,-4485849,-4119266,-4299286,-4261756,-4370751,-1319712 
-4044080,-4223749,-4466189,-4099472,-4280066,-4242732,-4351957,-1301022 
-4039559,-4219217,-4461511,-4094112,-4275694,-4238508,-4347357,-1282859 
-4055196,-4234909,-4477134,-4109487,-4291242,-4254139,-4362617,-1278213 
-4070644,-4250466,-4492886,-4126349,-4306642,-4269172,-4377829,-1300510 
-4063720,-4243631,-4486115,-4120646,-4299861,-4262036,-4370911,-1315139 
-4045092,-4224916,-4467137,-4101165,-4281149,-4243467,-4352412,-1308176 
-4041749,-4221338,-4463515,-4096947,-4277515,-4240211,-4349557,-1294131 
-4058833,-4238624,-4480795,-4113833,-4294717,-4257310,-4366399,-1313323 
-4069474,-4249056,-4491161,-4122913,-4305263,-4268159,-4376751,-1302570 
-4060607,-4240135,-4482386,-4115169,-4296453,-4259214,-4367907,-1284427 
-4043416,-4223047,-4465319,-4099232,-4279431,-4242047,-4350814,-1273026 
-4041281,-4220717,-4462900,-4096141,-4277257,-4240022,-4348910,-1268951 
-4056957,-4236259,-4478520,-4110607,-4292729,-4255809,-4364600,-1264822 
-4072085,-4251663,-4494159,-4127896,-4307861,-4270622,-4379259,-1288177 
-4065740,-4245638,-4488159,-4123334,-4301774,-4264007,-4372741,-1322406 
-4046274,-4225846,-4468260,-4102467,-4282203,-4244703,-4353601,-1309906 
-4043959,-4223352,-4465509,-4099368,-4279697,-4242494,-4351660,-1303105 
-4059954,-4239244,-4481262,-4114339,-4295537,-4258601,-4367598,-1306143 
-4070356,-4249743,-4491910,-4124275,-4305946,-4269211,-4377584,-1295917 
-4062019,-4241541,-4483882,-4117970,-4297739,-4260629,-4368945,-1291898 
-4045782,-4225395,-4467721,-4102684,-4281681,-4244293,-4352861,-1293757 
-4043621,-4222941,-4465145,-4098751,-4279294,-4242193,-4350974,-1288912 
-4059271,-4238558,-4480717,-4113064,-4294881,-4258084,-4366811,-1280499 
-4071932,-4251249,-4493605,-4126567,-4307399,-4270529,-4379201,-1280313 
-4062856,-4242344,-4484937,-4119298,-4298475,-4261334,-4370018,-1279017 
-4046062,-4225527,-4468124,-4103504,-4281756,-4244571,-4353473,-1280432 
-4043092,-4222397,-4464933,-4098506,-4278755,-4242080,-4350921,-1267844 
